Deployment,TrainableParameters,TotalInstantiatedParameters,UniqueDeployedParameters,CheckpointMiB,MACs,FLOPs,MedianLatency_ms,P95Latency_ms,PeakAllocated_MiB,PeakReserved_MiB,EndToEndLatency_ms,TrainingWallClock_seconds,AcceleratorHours
single_member_1,514,1794250,1794250,6.927456855773926,419150962016.0,838301924032,322.4664,331.90184,88.84130859375,108.0,,1166.2474147,0.32395761519444444
three_member_ensemble,1542,5382750,4684242,20.782370567321777,1257452886048.0,2514905772096,986.56195,1017.959565,88.84130859375,108.0,1094.7932,1166.2474147,0.9599754048611111
