epoch,train_total_loss,train_residual_mae_db,train_erb_mae_db,train_contralateral_high_frequency_mae_db,train_ild_mae_db,train_ild_spectral_proxy_mae_db,train_cnn_delta_mean_absolute_db,validation_total_loss,validation_residual_mae_db,validation_erb_mae_db,validation_contralateral_high_frequency_mae_db,validation_ild_mae_db,validation_ild_spectral_proxy_mae_db,validation_cnn_delta_mean_absolute_db,learning_rate,epoch_seconds,skipped_optimizer_steps
1,0.7133907898664474,2.6980738654136656,1.0718306844234466,3.8221192712783814,0.656541642844677,0.656541642844677,0.2493791478469533,0.7286407512923082,2.7531771063804626,1.11530679029723,3.8643247882525125,0.6535492747401198,0.6535492747401198,0.4979119909907204,0.0003,37.9886214,0
2,0.6942808405160904,2.6348011627197265,1.0568048365116118,3.7255681200027464,0.6399150773286819,0.6399150773286819,0.6153286440409726,0.7112380259980758,2.6905316909154258,1.0974191178878148,3.7791702250639596,0.6462466248000661,0.6462466248000661,0.7435963631272573,0.00029265847744427303,38.6573351,0
3,0.6867244169712067,2.612005518913269,1.047923854470253,3.6815065760612486,0.6367492107152939,0.6367492107152939,0.7640219795721026,0.7012405470013618,2.658755585551262,1.077586164077123,3.7460029497742653,0.6331532429903746,0.6331532429903746,0.7434199697190002,0.0002713525491562421,37.4389939,0
4,0.6766133644580841,2.5701476016044618,1.0296582300662995,3.6454724688529967,0.6379464001059533,0.6379464001059533,0.8192939318226338,0.6947230932613214,2.639476681749026,1.0706835376719634,3.7133262728651366,0.6238052134091655,0.6238052134091655,0.8497147065923616,0.00023816778784387096,37.2952224,0
5,0.6733946638703346,2.5606214215755463,1.0289233434200287,3.6262754158973696,0.6324189608693123,0.6324189608693123,0.8650931064896066,0.692388187473019,2.6257866447170577,1.066221681733926,3.694370078543822,0.6361114957059423,0.6361114957059423,0.9231574194746052,0.0001963525491562421,37.1791777,0
6,0.6662156362533569,2.543128704547882,1.0226555613279342,3.597497274875641,0.619057919561863,0.619057919561863,0.9254571120855745,0.6883325781673193,2.614448276658853,1.060851076617837,3.681385492285093,0.6281820597747961,0.6281820597747961,0.9565275045622054,0.00015,37.114273199999985,0
7,0.6623064264655113,2.5248251674175264,1.017564064860344,3.581368598461151,0.6211576451659202,0.6211576451659202,0.9424799040133829,0.6854329245785872,2.60701634734869,1.0571926503131788,3.670197601119677,0.6244807789723078,0.6244807789723078,0.9979041110359076,0.0001036474508437579,37.771817699999986,0
8,0.6654800180792808,2.534493113040924,1.0222034043073653,3.6007013354301454,0.6201039624214172,0.6201039624214172,0.9619293853894797,0.6844245561709007,2.6047330697377524,1.0554813308020432,3.667723926405112,0.6235931605721513,0.6235931605721513,0.9890262234234752,6.183221215612905e-05,37.59989129999997,0
9,0.6538260455727577,2.500579679965973,1.0052362198829652,3.5414676876068114,0.6132547042369842,0.6132547042369842,0.9710868774703263,0.6832189268122116,2.6004394168655076,1.0523033576707046,3.661487733324369,0.623319854028523,0.623319854028523,0.995432909189332,2.86474508437579e-05,37.538474199999996,0
10,0.6614988110065461,2.525335171222687,1.007142380475998,3.611848598957062,0.6118340685367584,0.6118340685367584,0.9745529393821974,0.6826540001978477,2.5996135423580804,1.0528539872417848,3.6593492378791175,0.6217703570922216,0.6217703570922216,0.9928095654615609,7.341522555726971e-06,37.47283329999999,0
