latent_dimension,seed,run_name,best_cycle,weighted_mae_db,weighted_rmse_db,median_mae_db,std_subject_mae_db,mca_zero_residual_mae_db,improvement_vs_mca_percent,budget_status,early_window_mean_mae_db,late_window_mean_mae_db,window_improvement_percent,elapsed_seconds,peak_cuda_allocated_mib,checkpoint_sha256,git_commit,git_dirty,test_subjects_read
128,20260821,sonicom_film_siren_b_latent_128_seed20260821_e150,150,3.107445257758664,4.739852291945348,3.0780409276637277,0.18130819311570592,3.3222888828876402,6.466735214857056,KEEP_PLATEAU,3.1156504552943183,3.115731089379896,-0.0025880337584366447,970.1575323999999,177.12939453125,9D76DA56CBB1D32C81DAE6D38BEB691A255AEA6E7600585126F3902C5392B7C4,522f445eb1c51df9d1f978a3cbcfc411514cbf8a,False,0
128,20260822,sonicom_film_siren_b_latent_128_seed20260822_e150,130,3.0990744192256128,4.728822754345095,3.0752017358355577,0.18619292910099675,3.3222888828876402,6.718695198715407,KEEP,nan,nan,nan,994.1377186,177.12939453125,BC53828281C9F2D172908B340DFB3BFE3397ED7FC2405E0DAA82F5E928E821C1,0521e2f0bd0f7cafdf92fbd31a936cc41d05921f,False,0
128,20260823,sonicom_film_siren_b_latent_128_seed20260823_e150,145,3.102523291112909,4.733396306880116,3.079734011066683,0.18608668224916422,3.3222888828876402,6.614885084397515,KEEP,nan,nan,nan,964.9427293,177.12939453125,8A9212B9C661106F14AA5B9ADA1FE13D4E6AE67CD57128EC1E116987D7EFCBB1,0521e2f0bd0f7cafdf92fbd31a936cc41d05921f,False,0
256,20260821,sonicom_film_siren_b_latent_256_seed20260821_e150,150,3.107238697724968,4.735408501253881,3.0947527689573264,0.18810703658247016,3.3222888828876402,6.472952616202255,KEEP_PLATEAU,3.1163430692684813,3.1133002188035053,0.09764170366808347,961.3105349,177.50634765625,AA0DD671823677C9479765E61D37D734CCC40E5A4B21AE7332C3378AB34AF520,0521e2f0bd0f7cafdf92fbd31a936cc41d05921f,False,0
256,20260822,sonicom_film_siren_b_latent_256_seed20260822_e150,130,3.105640326696552,4.735073198377209,3.0766570314838964,0.18587277472610866,3.3222888828876402,6.521063153387885,KEEP,nan,nan,nan,962.5457371,177.50634765625,F27AC4DBB7F70889380CE0E734DD3D4E7C4D990C8EAB0513817F9C2FF733EDE5,0521e2f0bd0f7cafdf92fbd31a936cc41d05921f,False,0
256,20260823,sonicom_film_siren_b_latent_256_seed20260823_e150,105,3.1035768655509908,4.73760914642508,3.083404983026766,0.18190795212803745,3.3222888828876402,6.583172777755286,KEEP,nan,nan,nan,963.1633330999999,177.50634765625,83C42D5D4B5671EA506529153F0A7D1B1D5FAB8359E8DAA365C91695F11C60D4,0521e2f0bd0f7cafdf92fbd31a936cc41d05921f,False,0
