SparseOrder,Method,SubjectCount,MeanAbsoluteILDError_dB,SD_AbsoluteILDError_dB,MedianAbsoluteILDError_dB,MeanAbsoluteITDError_us,SD_AbsoluteITDError_us,MedianAbsoluteITDError_us
1,SH,96,8.55644577970689,0.532184411187127,8.54275537870761,320.775462962963,19.2645867221199,323.837868480726
1,Conventional,96,2.27984272022133,0.421977946394043,2.2560532969058,19.9013054295792,6.88364665275431,19.2806752330562
1,MCA,96,1.46673547560033,0.377783366508616,1.40195909190267,22.2545036533132,7.87726472050004,21.4191232048375
2,SH,96,6.57740945499623,0.546043291764898,6.64179799262531,349.83157228941,21.872213643923,353.939909297053
2,Conventional,96,1.49321786781049,0.316413752039889,1.47423519156299,14.7776780465273,3.94982087444446,14.4305870496347
2,MCA,96,1.16615971401971,0.273842535287146,1.12119280120448,14.8461120559335,3.97059951323826,14.1723356009071
3,SH,96,6.7915146950414,0.523022188605564,6.73736452553102,294.160866507097,25.9127560709195,298.022171831695
3,Conventional,96,1.56232719486745,0.270415254285873,1.53490895174066,11.7113357688755,3.42314642722022,11.1394557823129
3,MCA,96,0.861126798020612,0.220482548703641,0.830751377864232,11.6453950407323,3.2120157772851,10.7772738725119
4,SH,96,4.57276162879435,0.395790675746806,4.60964517750427,204.517103909465,22.4945643890487,209.375787351977
4,Conventional,96,1.33174657262678,0.214733167260798,1.29648877862797,7.84576562106325,2.21384129503761,7.24678760393048
4,MCA,96,0.668654993742197,0.138411003190166,0.668483034177591,6.5622506718737,1.98903441146936,6.26102292768961
5,SH,96,4.46005515609887,0.481978372300097,4.45498206093893,151.60783835139,23.4271275373641,153.609221466364
5,Conventional,96,1.08391915104714,0.218514628878723,1.05427247731184,6.15276203073823,2.37138395188011,5.32249937011843
5,MCA,96,0.973336216187691,0.181715625925987,0.986803601208265,6.16148851515916,2.27260047673623,5.87679516250945
6,SH,96,4.68115026738492,0.536390370572144,4.63713091458236,92.1712280591249,19.9652736614514,90.8604182413706
6,Conventional,96,1.19488452250233,0.234810702982653,1.20095151218484,5.58271919879064,2.8530892390936,4.42806752330564
6,MCA,96,0.673860745070415,0.107424429908696,0.675317184278364,4.85645261190898,2.58776288321106,3.93361048122954
7,SH,96,3.3798624442727,0.392370515604918,3.33807619905935,40.7993328504241,15.2641148030283,41.0241874527589
7,Conventional,96,0.803543374197201,0.140755826720708,0.793573639489523,3.2933620979256,1.33281419299516,2.8029730410683
7,MCA,96,0.570802757857114,0.0948774034747171,0.559786929787972,3.32229728311079,1.25225643639619,2.87226001511717
8,SH,96,2.41600430718893,0.283862135502865,2.4159408963696,10.2511915259931,3.99680920617884,10.0340136054422
8,Conventional,96,0.627431719835032,0.111011738701117,0.623305585616418,3.06319286974049,1.85166134685103,2.34001007810532
8,MCA,96,0.647597197466047,0.125973509041288,0.645349307960087,3.26324588477367,1.45821606533752,2.89430587049636
9,SH,96,2.18396631477889,0.398578234755334,2.18316932359436,4.62838298899807,1.61408181401126,4.41232048374906
9,Conventional,96,0.658265322003307,0.11341254882795,0.642306807206744,2.42937452758882,1.38852663530563,1.8864953388763
9,MCA,96,0.577800741652247,0.111824041393537,0.566039528663575,3.27597474174856,1.21610477976899,2.9572940287226
10,SH,96,1.91004149452529,0.286122454597624,1.90525819609402,1.91070641219451,0.768577707960151,1.76051902242378
10,Conventional,96,0.463312776127907,0.0756368577001388,0.467303304466878,1.51381540270429,0.783152619148986,1.26606198034769
10,MCA,96,0.432979965523554,0.080047748585864,0.421487638706622,2.09639025363232,0.84200870197098,1.82980599647267
