SparseOrder,Method,Ear,FrequencyHz,MeanERBError_dB,SD_ERBError_dB
1,SH,Left,49.9999999999997,0.0121797338281571,0.00227289216419507
1,SH,Left,81.4427085053407,0.0242093791436614,0.00467025379542459
1,SH,Left,116.431067138464,0.0526227551900054,0.00810335732051421
1,SH,Left,155.364902613614,0.0991871137736872,0.0122011002428173
1,SH,Left,198.689128271089,0.16664516370958,0.0181104508522842
1,SH,Left,246.898828289411,0.256800981396931,0.0258363331012548
1,SH,Left,300.544915220817,0.368755893367597,0.0351876044657757
1,SH,Left,360.240425501075,0.5059723484181,0.0462161318887049
1,SH,Left,426.667524875106,0.67319587504314,0.0591944730805557
1,SH,Left,500.585303792335,0.875414458712078,0.0746808829906746
1,SH,Left,582.838451853057,1.12238709292467,0.0936268645269368
1,SH,Left,674.366910432351,1.43094288050084,0.118714335537623
1,SH,Left,776.216613786162,1.8379365890378,0.171414111396601
1,SH,Left,889.551441382679,2.42785811867316,0.24098547593843
1,SH,Left,1015.66651804335,3.01670656214563,0.229682421789358
1,SH,Left,1156.00301387982,3.31002668715891,0.197091090089691
1,SH,Left,1312.16461315198,3.70298325384236,0.394560158219672
1,SH,Left,1485.93584024358,4.97824058974847,0.664426652536367
1,SH,Left,1679.30245217416,6.60644834344749,0.663191815672471
1,SH,Left,1894.47413068111,7.75069154667176,0.417609924281449
1,SH,Left,2133.90973318379,7.83270414772301,0.413614008319921
1,SH,Left,2400.34539118311,6.59040644539167,0.802873725447078
1,SH,Left,2696.82577718896,4.48134305931123,0.942814490748463
1,SH,Left,3026.73889747556,2.93385419134104,0.586830020737223
1,SH,Left,3393.85480825658,2.41333273433274,0.303225596704227
1,SH,Left,3802.36869770572,2.35253638738662,0.232470891191783
1,SH,Left,4256.94882613932,2.80110224868679,0.438657941312459
1,SH,Left,4762.78987219375,3.84489225237377,0.68835635643737
1,SH,Left,5325.67229460656,5.07032896630912,0.750091525442851
1,SH,Left,5952.02838795379,5.94234709178815,0.519941078517561
