epoch,train_total_loss,train_residual_mae_db,train_erb_mae_db,train_contralateral_high_frequency_mae_db,train_ild_mae_db,validation_total_loss,validation_residual_mae_db,validation_erb_mae_db,validation_contralateral_high_frequency_mae_db,validation_ild_mae_db,learning_rate,elapsed_seconds
1,0.6704073973894119,2.75994261264801,1.1179855880737304,3.9210907063484193,0.7010790454745293,0.6951277069747448,2.8514378865559897,1.152336851383249,4.0369140555461245,0.6818323923895756,0.0003,34.041376
2,0.6706332567930221,2.77256760263443,1.1103395928144455,3.9281331844329834,0.6740605730414391,0.6913620966176192,2.8462029471993446,1.1463572829961777,4.018140179415544,0.668838904860119,0.00029265847744427303,28.9186896
3,0.6716444753408432,2.7846785645484924,1.1088522398471832,3.9263512239456175,0.6686369640231132,0.6922542558362087,2.8519783864418664,1.146105441575249,4.027063166101773,0.6619395399466157,0.0002713525491562421,29.230030299999996
4,0.6649525935649871,2.7605027837753298,1.0924758739471436,3.9073910608291627,0.666037743628025,0.6886579282581806,2.8428866093357406,1.1396073574821155,4.012799983223279,0.6484489273279905,0.00023816778784387096,29.243969099999987
5,0.6643924785256385,2.760388149738312,1.0942330515384675,3.897277335166931,0.6629886965155601,0.6882396613558134,2.840421895186106,1.1366025271515052,4.012775813539823,0.6552688454588255,0.0001963525491562421,29.361008199999986
6,0.6620269029140472,2.7580305433273313,1.0892402411699296,3.8934866313934324,0.6446420169472694,0.685996824875474,2.8318812797466912,1.129246626670162,4.001790590584278,0.6599341463297606,0.00015,29.195815299999992
7,0.657928717136383,2.7422841401100158,1.0852242925167084,3.8711271705627444,0.6479442541599274,0.6864830845346054,2.8343188216288886,1.122284025574724,4.011644584437211,0.6592091582715511,0.0001036474508437579,29.082892999999984
8,0.6615338177680969,2.7533795137405397,1.0884748171567917,3.890823534488678,0.6495467587709427,0.6836113426834345,2.8276234517494836,1.1202731945862372,3.997249128917853,0.654077362579604,6.183221215612905e-05,28.935135799999983
9,0.6507258672118187,2.720524077415466,1.072364437699318,3.832043397426605,0.6422533656358719,0.6831142747153839,2.8274753789107003,1.1195641476660967,3.9961900115013123,0.6500861259798209,2.86474508437579e-05,29.05370959999999
10,0.6579098602533341,2.744801924228668,1.0728572114706039,3.8996570048332213,0.6346967012882233,0.6826299590369066,2.825701452791691,1.1193633272002141,3.993006020784378,0.6512903071319064,7.341522555726971e-06,29.140737700000045
