candidate,erb_weight,high_frequency_weight,ild_weight,residual_mae_db,erb_proxy_mae_db,contralateral_high_frequency_mae_db,ild_proxy_mae_db,residual_improvement_percent,erb_improvement_percent,high_frequency_improvement_percent,ild_improvement_percent,minimum_perceptual_improvement_percent,mean_perceptual_improvement_percent,wandb_run_id,wandb_sync_status
balanced,0.5,0.25,0.25,2.849955476820469,1.1529475077986717,4.031838454306126,0.7036882266402245,0.1167338986041146,1.49885136413236,0.5259837611444491,7.233432470247817,0.5259837611444491,3.0860891985082084,buhhtjwi,synced
erb_heavy,0.75,0.25,0.25,2.849610760807991,1.1498046852648258,4.031655117869377,0.7044643890112638,0.12881526671101315,1.7673558948664398,0.5305070603522378,7.131111703349594,0.5305070603522378,3.1429915528560906,n2jlw45k,offline_pending_authorization
ild_heavy,0.5,0.25,0.5,2.8534777238965034,1.1554103828966618,4.032947674393654,0.6923481971025467,-0.0067113779385632654,1.2884375990149146,0.4986169461666807,8.728378066991777,0.4986169461666807,3.5051442040577907,vpwlyqc8,offline_pending_authorization
erb_ild_heavy,0.75,0.25,0.5,2.852936305105686,1.1521776430308819,4.032689139246941,0.6943651884794235,0.012263892936836133,1.5646241451207783,0.5049955572330547,8.462479960861268,0.5049955572330547,3.510699887738367,q5g8hg2h,offline_pending_authorization
