Metric,Q14_Mean_dB,Q14_SD_dB,Q26_Mean_dB,Q26_SD_dB,Q50_Mean_dB,Q50_SD_dB
FullSphereERB,0.9084398889000019,0.18261019833974115,0.8008204134870003,0.16138572157077377,0.7519026193507614,0.15136763137034098
Contralateral25ERB,1.3382522687323568,0.22943053829143192,1.212324817358274,0.1894573278460507,1.217337560936485,0.19323185489156217
ContralateralHighFrequency,3.6617716593686507,0.3403745225331029,3.4920422331470617,0.27613557056513227,3.409274174677066,0.2707431257407983
HorizontalILDMAE,0.6427307363951458,0.1825815277270297,0.6232298512872183,0.17730357699439803,0.5488731604232066,0.14402929969098205
