placement,seed,run_name,best_cycle,weighted_mae_db,weighted_rmse_db,median_mae_db,std_subject_mae_db,mca_zero_residual_mae_db,improvement_vs_mca_percent,decision,elapsed_seconds,peak_cuda_allocated_mib,checkpoint_sha256,git_commit,git_dirty,test_subjects_read
all,20260821,sonicom_film_siren_b_placement_all_seed20260821,40,3.1019527962078475,4.744884965955648,3.0732745606002836,0.18893548610595745,3.3222888828876402,6.6320568272883795,KEEP,1201.5578345000001,238.04150390625,BD4F60090327EBE85EE7F5522FC28C2DD2C6FF3073D65A804CDD518804D79586,8fcad4fcbbcaf53e1f40a093e316453e6368759f,False,0
hidden,20260821,sonicom_film_siren_b_placement_hidden_seed20260821,60,3.096798957136095,4.734235444842877,3.0774821526571454,0.18325329453647113,3.3222888828876402,6.787185994360478,KEEP,1161.0352186,222.43408203125,FEA2EC8625F9986087AFFA708BBDB88FB2A51F1836134FF6E41607CA9B0086BA,8fcad4fcbbcaf53e1f40a093e316453e6368759f,False,0
late,20260821,sonicom_film_siren_b_placement_late_seed20260821,55,3.1217086716624562,4.766982155545772,3.099741816591491,0.1803637030908617,3.3222888828876402,6.037410300420509,KEEP,1052.4187465999998,191.21923828125,33FCB512BE339DD95BE5B1BE85AD26C34BE6741CAC723538D2A5D857144C42C7,8fcad4fcbbcaf53e1f40a093e316453e6368759f,False,0
