SparseOrder,Method,Ear,Region,SubjectCount,MeanERBError_dB,SD_ERBError_dB,MedianERBError_dB,MinERBError_dB,MaxERBError_dB
1,SH,Left,FullSphere,96,3.57316252048229,0.11849513229334,3.57352166187843,3.14301905865485,3.89208681310857
1,SH,Left,Frontal25deg,96,2.63181747648149,0.224709305054476,2.65278893596305,2.10139960447507,3.19377287790164
1,SH,Left,Contralateral25deg,96,7.57405312061551,0.423209526010714,7.61518544802924,6.36061785655995,8.41301243276069
1,SH,Right,FullSphere,96,3.60161965319763,0.0885518936367299,3.61208544543217,3.36732058016898,3.79795318808916
1,SH,Right,Frontal25deg,96,2.717375001898,0.194678427446899,2.71173862956724,2.26616645884772,3.22005427605984
1,SH,Right,Contralateral25deg,96,7.63646105025078,0.364128907313041,7.67231955849382,6.53888506586761,8.36759115649444
1,Conventional,Left,FullSphere,96,1.56635428671501,0.121008105020089,1.55668795888811,1.30214212244511,1.90050116501913
1,Conventional,Left,Frontal25deg,96,1.30841904111671,0.176998642537928,1.28450656666334,0.922744754800717,1.80425839951605
1,Conventional,Left,Contralateral25deg,96,2.49410751350233,0.217111847058306,2.46693118366154,1.98408138070342,3.21440915956376
1,Conventional,Right,FullSphere,96,1.55370198071534,0.10320304716605,1.55500509741179,1.22666082872806,1.78561895526993
1,Conventional,Right,Frontal25deg,96,1.35673092071937,0.188397066093017,1.33655908188939,0.912164577732269,1.95673601840444
1,Conventional,Right,Contralateral25deg,96,2.5107623969735,0.218082790733399,2.51706681498202,2.00741930095415,3.02428100657796
1,MCA,Left,FullSphere,96,1.63704133451173,0.0900623140514146,1.63668423228166,1.39016385536784,1.86091779414684
1,MCA,Left,Frontal25deg,96,1.1952434068748,0.156249898472083,1.17223929524787,0.895956106181157,1.67985169812832
1,MCA,Left,Contralateral25deg,96,2.4298599303757,0.22773478994417,2.42781889076738,1.88044096826284,2.92677584098143
1,MCA,Right,FullSphere,96,1.597681325971,0.0923332081639389,1.59475110875424,1.38739267796715,1.837084483731
1,MCA,Right,Frontal25deg,96,1.19572896478859,0.158580432291314,1.20141350169195,0.821035312343937,1.62568240770782
1,MCA,Right,Contralateral25deg,96,2.44246489782585,0.242244372552859,2.40179712093668,1.96140378230358,3.09710369476972
2,SH,Left,FullSphere,96,3.05388737520579,0.0920531527829965,3.04318580696188,2.81767852821828,3.3216323820608
2,SH,Left,Frontal25deg,96,2.89606182874318,0.19100080394995,2.87973873442559,2.45475997908419,3.37846752701511
2,SH,Left,Contralateral25deg,96,5.72247732492139,0.377064715338756,5.75440028730954,4.3848137425917,6.80114197998072
2,SH,Right,FullSphere,96,3.05120291472967,0.0795145066999844,3.05036235962185,2.84402485333895,3.24611313687546
2,SH,Right,Frontal25deg,96,2.8729247842609,0.193493266249278,2.89184966948614,2.39482066950394,3.33427369113125
2,SH,Right,Contralateral25deg,96,5.72894335916637,0.341029858805748,5.76823550465381,4.80870170942191,6.53425291027771
2,Conventional,Left,FullSphere,96,1.31664382601015,0.110016703823019,1.30384566343704,1.07026837638485,1.58137677843956
2,Conventional,Left,Frontal25deg,96,1.02359152342831,0.268763328800797,0.977358524962238,0.578310650523237,1.94509301752864
