Tier,Split,EvidenceLevel,Method,MethodLabel,Endpoint,Unit,SubjectCount,Mean,SampleStd,Bootstrap95Lower,Bootstrap95Upper
Deferred,val,Exploratory validation,BOUNDED,Stage E Bounded E25,DominantNotchMissRate,fraction,44,0.458053030798446,0.0608131019890048,0.440355414685245,0.47604459487026
Deferred,val,Exploratory validation,MCAR,MCAR v3.5.1,DominantNotchMissRate,fraction,44,0.448617658756729,0.0626480448572756,0.430584020792543,0.467135263277832
Deferred,val,Exploratory validation,BOUNDED,Stage E Bounded E25,DominantNotchSpuriousRate,fraction,44,0.0227272727272727,0.150755672288882,0,0.0681818181818182
Deferred,val,Exploratory validation,MCAR,MCAR v3.5.1,DominantNotchSpuriousRate,fraction,44,0.0227272727272727,0.150755672288882,0,0.0681818181818182
Deferred,val,Exploratory validation,BOUNDED,Stage E Bounded E25,ReferenceNotchFraction,fraction,44,0.99998226092761,0.000117667694492225,0.99994678278283,1
Deferred,val,Exploratory validation,MCAR,MCAR v3.5.1,ReferenceNotchFraction,fraction,44,0.99998226092761,0.000117667694492225,0.99994678278283,1
Deferred,val,Exploratory validation,BOUNDED,Stage E Bounded E25,ITDWeightedMAE_us,us,44,15.5208372342365,2.29860723801188,14.8463776199302,16.1911622327637
Deferred,val,Exploratory validation,MCAR,MCAR v3.5.1,ITDWeightedMAE_us,us,44,15.520266032912,2.27515580320806,14.8522689947837,16.1840136256323
Deferred,val,Exploratory validation,BOUNDED,Stage E Bounded E25,ITDMaximumAbsoluteError_us,us,44,130.20833350972,38.7768111453879,118.90388519863,141.867896871356
Deferred,val,Exploratory validation,MCAR,MCAR v3.5.1,ITDMaximumAbsoluteError_us,us,44,129.971590385222,37.9123237425435,118.902400407189,141.335227983125
Deferred,val,Exploratory validation,RANF,RANF,DominantNotchPenalizedMAE_Hz,Hz,44,859.000960109511,83.9425226746317,835.020705563831,883.801334021668
Deferred,val,Exploratory validation,FSPAE,FSP-AE,DominantNotchPenalizedMAE_Hz,Hz,44,829.64145083458,63.3123080124606,811.523756572206,848.233703952422
Deferred,val,Exploratory validation,RANF,RANF,DominantNotchMatchedMAE_Hz,Hz,44,432.687653058673,43.8515935732289,420.132605096547,445.438916734905
Deferred,val,Exploratory validation,FSPAE,FSP-AE,DominantNotchMatchedMAE_Hz,Hz,44,417.50365387418,45.1201164318655,404.534696723376,430.625500688294
Deferred,val,Exploratory validation,RANF,RANF,DominantNotchMissRate,fraction,44,0.40021435273977,0.0688041477815004,0.380661406167642,0.420433115546975
Deferred,val,Exploratory validation,FSPAE,FSP-AE,DominantNotchMissRate,fraction,44,0.380177298116563,0.0585254036706052,0.363671586983499,0.397348872587777
Deferred,val,Exploratory validation,RANF,RANF,DominantNotchSpuriousRate,fraction,44,0.0227272727272727,0.150755672288882,0,0.0681818181818182
Deferred,val,Exploratory validation,FSPAE,FSP-AE,DominantNotchSpuriousRate,fraction,44,0.0227272727272727,0.150755672288882,0,0.0681818181818182
Deferred,val,Exploratory validation,RANF,RANF,ReferenceNotchFraction,fraction,44,0.99998226092761,0.000117667694492225,0.99994678278283,1
Deferred,val,Exploratory validation,FSPAE,FSP-AE,ReferenceNotchFraction,fraction,44,0.99998226092761,0.000117667694492225,0.99994678278283,1
Deferred,val,Exploratory validation,RANF,RANF,ITDWeightedMAE_us,us,44,17.5893526474218,2.52704989644362,16.8686049591961,18.3543469388273
Deferred,val,Exploratory validation,FSPAE,FSP-AE,ITDWeightedMAE_us,us,44,15.5439155536988,4.20431809751081,14.4146799458286,16.8389408261859
Deferred,val,Exploratory validation,RANF,RANF,ITDMaximumAbsoluteError_us,us,44,155.598963002293,57.0851708076593,139.441294827107,172.99952742178
Deferred,val,Exploratory validation,FSPAE,FSP-AE,ITDMaximumAbsoluteError_us,us,44,104.403412788915,60.2510893383711,87.7707718323315,122.989180653121
