Method,MethodLabel,FullSphereERB,Contralateral25ERB,ContralateralHighFrequency,HorizontalILDMAE
BOUNDED,Stage E Bounded E25,0.794131444527119,1.20151773131705,3.47658009984537,0.674381518236061
MCARv351,MCAR v3.5.1,0.817937048796877,1.27448923210052,3.50848096285303,0.644709091655925
RANF,RANF,1.06323556122427,1.55732253237451,3.46968276652262,0.775462771438966
FSPAE,FSP-AE,1.18449282832708,1.90887228327219,3.16435468649166,0.758667887461805
