SubjectLabel,SubjectID,Split,Method,Metric,Unit,Value
nh165,165,test,FSC,Contralateral25ERB,dB,1.0734744695796501
nh165,165,test,FSC,ERBBandILDMean,dB,1.6432801485061646
nh165,165,test,FSC,ITDWeightedMAE,us,15.63487960777692
nh165,165,test,FSC,FullSphereLSD,dB,3.5166115717252366
nh166,166,test,MCA,FullSphereERB,dB,1.10149456092968
nh166,166,test,MCA,Contralateral25ERB,dB,1.2710120337447699
nh166,166,test,MCA,ERBBandILDMean,dB,2.1349260807037354
nh166,166,test,MCA,ITDWeightedMAE,us,14.489927704449606
nh166,166,test,MCA,FullSphereLSD,dB,4.5526739679981763
nh166,166,test,FSC,FullSphereERB,dB,0.98191626250245201
nh166,166,test,FSC,Contralateral25ERB,dB,1.1444099826919001
nh166,166,test,FSC,ERBBandILDMean,dB,1.7772074937820435
nh166,166,test,FSC,ITDWeightedMAE,us,14.146190837537059
nh166,166,test,FSC,FullSphereLSD,dB,3.9455062826287488
nh209,209,test,MCA,FullSphereERB,dB,1.04404463175983
nh209,209,test,MCA,Contralateral25ERB,dB,1.2027069986046399
nh209,209,test,MCA,ERBBandILDMean,dB,1.9949027299880981
nh209,209,test,MCA,ITDWeightedMAE,us,13.72762107858553
nh209,209,test,MCA,FullSphereLSD,dB,4.2924214729288694
nh209,209,test,FSC,FullSphereERB,dB,0.82783674175311905
nh209,209,test,FSC,Contralateral25ERB,dB,0.95304012663232895
nh209,209,test,FSC,ERBBandILDMean,dB,1.5343886613845825
nh209,209,test,FSC,ITDWeightedMAE,us,13.3149701406023
nh209,209,test,FSC,FullSphereLSD,dB,3.4902207403863104
nh226,226,test,MCA,FullSphereERB,dB,1.1064435389259699
nh226,226,test,MCA,Contralateral25ERB,dB,1.2804655190565799
nh226,226,test,MCA,ERBBandILDMean,dB,1.9434006214141846
nh226,226,test,MCA,ITDWeightedMAE,us,17.576882144954546
nh226,226,test,MCA,FullSphereLSD,dB,4.4260298812994323
nh226,226,test,FSC,FullSphereERB,dB,0.93702579139056696
nh226,226,test,FSC,Contralateral25ERB,dB,1.06767299425951
nh226,226,test,FSC,ERBBandILDMean,dB,1.663649320602417
nh226,226,test,FSC,ITDWeightedMAE,us,17.128651000060458
nh226,226,test,FSC,FullSphereLSD,dB,3.7879041687085686
nh233,233,test,MCA,FullSphereERB,dB,1.0517573560003799
nh233,233,test,MCA,Contralateral25ERB,dB,1.18470869811209
nh233,233,test,MCA,ERBBandILDMean,dB,1.7919385433197021
nh233,233,test,MCA,ITDWeightedMAE,us,13.326869981533457
nh233,233,test,MCA,FullSphereLSD,dB,4.2153516888132039
nh233,233,test,FSC,FullSphereERB,dB,0.78172583822800701
nh233,233,test,FSC,Contralateral25ERB,dB,0.92079526304452297
nh233,233,test,FSC,ERBBandILDMean,dB,1.4286645650863647
nh233,233,test,FSC,ITDWeightedMAE,us,12.783194433085153
nh233,233,test,FSC,FullSphereLSD,dB,3.1165576999993361
nh246,246,test,MCA,FullSphereERB,dB,1.09593500984418
nh246,246,test,MCA,Contralateral25ERB,dB,1.23899774564377
nh246,246,test,MCA,ERBBandILDMean,dB,1.883292555809021
nh246,246,test,MCA,ITDWeightedMAE,us,16.968867530551336
nh246,246,test,MCA,FullSphereLSD,dB,4.68422547622745
nh246,246,test,FSC,FullSphereERB,dB,0.91982394043433302
nh246,246,test,FSC,Contralateral25ERB,dB,1.0627831112255099
nh246,246,test,FSC,ERBBandILDMean,dB,1.509635329246521
nh246,246,test,FSC,ITDWeightedMAE,us,16.461719868055454
nh246,246,test,FSC,FullSphereLSD,dB,3.851451259280104
nh251,251,test,MCA,FullSphereERB,dB,1.1691441353624299
nh251,251,test,MCA,Contralateral25ERB,dB,1.35680085962036
nh251,251,test,MCA,ERBBandILDMean,dB,2.3987834453582764
nh251,251,test,MCA,ITDWeightedMAE,us,19.147092058777023
nh251,251,test,MCA,FullSphereLSD,dB,4.9956820270456266
nh251,251,test,FSC,FullSphereERB,dB,0.91654789274052995
nh251,251,test,FSC,Contralateral25ERB,dB,1.0752762493655399
nh251,251,test,FSC,ERBBandILDMean,dB,1.816489577293396
nh251,251,test,FSC,ITDWeightedMAE,us,18.395475063157807
nh251,251,test,FSC,FullSphereLSD,dB,3.877165759142069
nh252,252,test,MCA,FullSphereERB,dB,1.2146584870053401
nh252,252,test,MCA,Contralateral25ERB,dB,1.38286662219511
nh252,252,test,MCA,ERBBandILDMean,dB,2.5272793769836426
nh252,252,test,MCA,ITDWeightedMAE,us,16.589830453558125
nh252,252,test,MCA,FullSphereLSD,dB,5.0696652027223603
nh252,252,test,FSC,FullSphereERB,dB,0.97264415653103797
nh252,252,test,FSC,Contralateral25ERB,dB,1.12597935881389
nh252,252,test,FSC,ERBBandILDMean,dB,1.659369945526123
nh252,252,test,FSC,ITDWeightedMAE,us,16.30585043254813
nh252,252,test,FSC,FullSphereLSD,dB,3.982646910534184
nh709,709,test,MCA,FullSphereERB,dB,1.1127812555213501
nh709,709,test,MCA,Contralateral25ERB,dB,1.2568215096793101
nh709,709,test,MCA,ERBBandILDMean,dB,1.852665901184082
nh709,709,test,MCA,ITDWeightedMAE,us,10.017398201858896
nh709,709,test,MCA,FullSphereLSD,dB,4.5770589886786643
nh709,709,test,FSC,FullSphereERB,dB,0.98393283981651003
nh709,709,test,FSC,Contralateral25ERB,dB,1.15567142449771
nh709,709,test,FSC,ERBBandILDMean,dB,1.7797389030456543
nh709,709,test,FSC,ITDWeightedMAE,us,9.8737032479906439
nh709,709,test,FSC,FullSphereLSD,dB,3.6562134746317332
nh710,710,test,MCA,FullSphereERB,dB,1.2056365847191299
nh710,710,test,MCA,Contralateral25ERB,dB,1.35068162017701
nh710,710,test,MCA,ERBBandILDMean,dB,1.9768085479736328
nh710,710,test,MCA,ITDWeightedMAE,us,14.076368805263346
nh710,710,test,MCA,FullSphereLSD,dB,4.7526315932727208
nh710,710,test,FSC,FullSphereERB,dB,0.854937614410056
nh710,710,test,FSC,Contralateral25ERB,dB,0.98373799455976596
nh710,710,test,FSC,ERBBandILDMean,dB,1.4572824239730835
nh710,710,test,FSC,ITDWeightedMAE,us,13.643481916037885
nh710,710,test,FSC,FullSphereLSD,dB,3.7242687658968832
nh770,770,test,MCA,FullSphereERB,dB,1.09976544559653
