SubjectLabel,SubjectID,Method,Metric,Unit,Value
nh252,252,FSC,FullSphereLSD,dB,3.982646910534184
nh709,709,MCA,ERBBandILDMean,dB,1.852665901184082
nh709,709,MCA,ITDWeightedMAE,us,10.017398201858896
nh709,709,MCA,FullSphereLSD,dB,4.5770589886786643
nh709,709,FSC,ERBBandILDMean,dB,1.7797389030456543
nh709,709,FSC,ITDWeightedMAE,us,9.8737032479906439
nh709,709,FSC,FullSphereLSD,dB,3.6562134746317332
nh710,710,MCA,ERBBandILDMean,dB,1.9768085479736328
nh710,710,MCA,ITDWeightedMAE,us,14.076368805263346
nh710,710,MCA,FullSphereLSD,dB,4.7526315932727208
nh710,710,FSC,ERBBandILDMean,dB,1.4572824239730835
nh710,710,FSC,ITDWeightedMAE,us,13.643481916037885
nh710,710,FSC,FullSphereLSD,dB,3.7242687658968832
nh770,770,MCA,ERBBandILDMean,dB,2.0893628597259521
nh770,770,MCA,ITDWeightedMAE,us,17.508176925799606
nh770,770,MCA,FullSphereLSD,dB,4.7173240972151333
nh770,770,FSC,ERBBandILDMean,dB,1.679036021232605
nh770,770,FSC,ITDWeightedMAE,us,17.028923924465889
nh770,770,FSC,FullSphereLSD,dB,3.7346329483778633
nh780,780,MCA,ERBBandILDMean,dB,2.1258888244628906
nh780,780,MCA,ITDWeightedMAE,us,15.396924494453325
nh780,780,MCA,FullSphereLSD,dB,4.7750780817260097
nh780,780,FSC,ERBBandILDMean,dB,1.5528616905212402
nh780,780,FSC,ITDWeightedMAE,us,14.846013419282386
nh780,780,FSC,FullSphereLSD,dB,3.7458609397173852
nh791,791,MCA,ERBBandILDMean,dB,2.0044617652893066
nh791,791,MCA,ITDWeightedMAE,us,13.739246266315313
nh791,791,MCA,FullSphereLSD,dB,4.6551990733166972
nh791,791,FSC,ERBBandILDMean,dB,1.5284099578857422
nh791,791,FSC,ITDWeightedMAE,us,12.810996994205237
nh791,791,FSC,FullSphereLSD,dB,3.4486849565555011
