Method,MethodLabel,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
SHOnly,SH only,14,FullSphereERB,4,2.79832915741362,0.13244699865484,2.68816330139096,2.90849501343629
SHOnly,SH only,26,FullSphereERB,4,2.62186449770251,0.0292761547823714,2.59314844244673,2.64567983931551
SHOnly,SH only,50,FullSphereERB,4,2.86567257155195,0.060346963069075,2.82893259597714,2.9241646257679
SHOnly,SH only,14,Contralateral25ERB,4,5.56166819860713,0.24960448756097,5.34930880009916,5.7740275971151
SHOnly,SH only,26,Contralateral25ERB,4,3.80429260953477,0.182929366273032,3.64789938996785,3.96068582910169
SHOnly,SH only,50,Contralateral25ERB,4,3.39789825123484,0.151498751704395,3.25950928244664,3.53396933739317
SHOnly,SH only,14,ContralateralHighFrequency,4,10.3149385635865,0.786326294965673,9.66216326034084,10.9193220641917
SHOnly,SH only,26,ContralateralHighFrequency,4,8.92556883931391,0.528383582401341,8.49606411703534,9.35507356159248
SHOnly,SH only,50,ContralateralHighFrequency,4,7.71973454921302,0.339389253159269,7.43051939970497,8.00894969872108
SHOnly,SH only,14,HorizontalILDMAE,4,4.36072150756173,0.339158057340816,4.0670608622517,4.65438215287176
SHOnly,SH only,26,HorizontalILDMAE,4,4.06001892817364,0.3532362757849,3.81920087518879,4.39978957666209
SHOnly,SH only,50,HorizontalILDMAE,4,3.84499652136817,0.2574335177931,3.61012737982008,4.06895173796086
SUpDEqSH,SUpDEq + SH,14,FullSphereERB,4,1.80496782347631,0.120253381339121,1.68978426978226,1.89013505134476
SUpDEqSH,SUpDEq + SH,26,FullSphereERB,4,1.61602340972949,0.230814380385058,1.42923286766381,1.81252889484584
SUpDEqSH,SUpDEq + SH,50,FullSphereERB,4,1.71852843225883,0.390878488786079,1.42401188531532,2.08553445776987
SUpDEqSH,SUpDEq + SH,14,Contralateral25ERB,4,2.66764540031538,0.0800232630349273,2.60833964753249,2.73711275647344
SUpDEqSH,SUpDEq + SH,26,Contralateral25ERB,4,2.1779085354721,0.165941116285421,2.03448511880377,2.32133195214042
SUpDEqSH,SUpDEq + SH,50,Contralateral25ERB,4,2.3303319530422,0.214305876413818,2.15624465649437,2.49716197947614
SUpDEqSH,SUpDEq + SH,14,ContralateralHighFrequency,4,6.56014857177494,0.696046163767201,5.93400958873599,7.20873400903333
SUpDEqSH,SUpDEq + SH,26,ContralateralHighFrequency,4,5.98128587126798,0.540538586748613,5.63109739285952,6.50090549749404
SUpDEqSH,SUpDEq + SH,50,ContralateralHighFrequency,4,6.40828398217515,0.396115124504476,6.05440676107982,6.73257343053276
SUpDEqSH,SUpDEq + SH,14,HorizontalILDMAE,4,1.88537463462535,0.166263440739969,1.72680358729482,2.02928191677522
SUpDEqSH,SUpDEq + SH,26,HorizontalILDMAE,4,1.70846514684696,0.523176948757581,1.29250938493164,2.12442090876229
