EvidenceTier,Split,EvidenceLevel,Endpoint,Unit,Direction,MethodOrder,Method,MethodLabel,Status,Reason,SubjectCount,Mean,SampleStd,RankWithinTier
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,8.044475959518174,0.9224648757853401,10
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,7.136629790067134,1.0754348595089345,9
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,6.483548672874232,1.3620375427577434,8
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,6.147492850447555,1.2879908101865718,7
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,5.287458280305807,0.7093670697223136,6
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,3.9120733673721975,0.6581414110631642,5
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,3.0422600639865864,0.5516688948514055,1
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,3.5873455789988156,0.5802381976750186,2
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,3.725672578089188,0.745131439969663,3
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,3.7685922990840073,0.6782118636818119,4
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,1224.9202444026955,34.23240272616518,10
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,1155.8583609984614,65.44960994061029,9
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,1018.3931737285711,61.986275219492455,6
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,1024.1133161575372,59.8974234315042,7
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,5,MCA,MCA,AVAILABLE,,44,1118.402296429319,63.677694207894355,8
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,949.2494082161884,75.55977360261095,4
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,829.6414508345799,63.31230801246058,1
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,8,RANF,RANF,AVAILABLE,,44,859.0009601095112,83.94252267463169,2
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,935.6771458813672,74.07417479739668,3
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,962.4137754162804,74.69358440090187,5
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,652.1161823714513,43.61328923364948,10
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,611.6302972195462,62.3987079591158,9
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,505.3809927422753,53.23459371562949,5
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,509.9531796741241,48.349824418384515,7
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,5,MCA,MCA,AVAILABLE,,44,595.0210172104242,60.33318248918046,8
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,502.0346522312713,58.8920023178486,4
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,417.5036538741795,45.12011643186553,1
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,8,RANF,RANF,AVAILABLE,,44,432.6876530586727,43.851593573228854,2
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,481.8079077389626,59.15797838161565,3
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,509.5136542288959,60.44239865475074,6
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,0.6759004614288946,0.03262640582489267,10
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,0.6145618578294222,0.05336820935720767,9
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,0.5165371578213681,0.047948882633062094,6
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,0.5199329632028387,0.049014900369977944,7
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,5,MCA,MCA,AVAILABLE,,44,0.5797546167007295,0.05233506652686829,8
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.4486176587567286,0.0626480448572756,4
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,0.38017729811656265,0.05852540367060519,1
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,8,RANF,RANF,AVAILABLE,,44,0.4002143527397703,0.06880414778150042,2
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.4460368832742345,0.062388098431290055,3
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.4580530307984464,0.06081310198900484,5
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,1
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,2
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,3
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,4
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,5,MCA,MCA,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,5
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,6
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,7
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,8,RANF,RANF,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,8
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,9
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.022727272727272728,0.15075567228888181,10
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,1,SHOnly,SH only,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,5,MCA,MCA,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,7,FSPAE,FSP-AE,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,8,RANF,RANF,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.9999822609276101,0.0001176676944922254,
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,50.84521585386406,6.586058620769666,10
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,13.548303256910419,2.0141725774714088,3
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,12.676418652699489,2.1258244801960924,1
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,12.992500582932719,2.213911964504188,2
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,5,MCA,MCA,AVAILABLE,,44,16.011452206416887,2.354461974995885,8
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,15.520266032911964,2.2751558032080594,4
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,15.543915553698787,4.204318097510814,7
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,8,RANF,RANF,AVAILABLE,,44,17.589352647421784,2.527049896443619,9
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,15.522397562166388,2.3298415416068328,6
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,15.520837234236467,2.29860723801188,5
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,266.63115103143684,65.38388358327097,10
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,141.74952692966062,32.26507144474127,8
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,137.9616475209001,35.42490327240814,5
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,139.2045451211743,38.01882130468892,7
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,5,MCA,MCA,AVAILABLE,,44,138.55350500142032,37.58124517370929,6
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,129.97159038522196,37.912323742543535,2
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,104.40341278891455,60.25108933837111,1
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,8,RANF,RANF,AVAILABLE,,44,155.5989630022933,57.085170807659345,9
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,130.20833483262157,39.33809371738921,4
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,130.20833350972018,38.77681114538794,3
