EvidenceTier,Split,EvidenceLevel,Endpoint,Unit,Direction,MethodOrder,Method,MethodLabel,Status,Reason,SubjectCount,Mean,SampleStd,RankWithinTier
Primary validation,val,Validation primary,HorizontalILDMAE,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.5650044447932491,0.15949453968779856,1
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,2.6853565503322385,0.10719709899095119,10
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,1.8820954164662245,0.5059550813480695,9
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,1.8517649012234778,0.29011171883636244,8
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,1.7522499008106955,0.2566555867172788,7
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,1.0821981924889854,0.09594779573712109,5
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.8179370487968771,0.17548315377463414,3
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,1.1844928283270788,0.3492147786673772,6
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,1.063235561224275,0.1263969562248575,4
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.8175440242629026,0.34269614981780533,2
Primary frozen engineering test,test,Frozen engineering test,FullSphereERB,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.7941314445271186,0.23968893769111158,1
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,3.835298459361723,0.44840786727952137,10
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,2.228058966831583,0.1946784030548492,8
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,2.2405069357103353,0.21233793322515948,9
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,2.1820943140533697,0.1928516981251219,7
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,1.7457551661165325,0.1550969897986205,5
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,1.2744892321005215,0.1477440454581583,3
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,1.9088722832721927,0.7008144347919009,6
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,1.5573225323745084,0.16359502653718577,4
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,1.2003965313140803,0.09521605266356192,1
Primary frozen engineering test,test,Frozen engineering test,Contralateral25ERB,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,1.2015177313170475,0.11383582341111831,2
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,9.066895819401736,0.8239832340774925,10
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,5.993626092737012,0.3439002741789864,9
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,5.595395176142248,0.25812149760528,8
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,5.475626457997767,0.21712596262129183,7
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,4.698648610844627,0.2660873203804296,6
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,3.5084809628530294,0.28791336352245417,5
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,3.1643546864916625,0.685424467474205,1
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,3.4696827665226184,0.25376626772377825,3
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,3.454911258906816,0.25750069931907066,2
Primary frozen engineering test,test,Frozen engineering test,ContralateralHighFrequency,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,3.4765800998453718,0.27879540727969626,4
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,3.5510804317871334,0.6636812251037446,10
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,2.0181311881102575,1.5642938561149935,9
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,1.6369763954333594,0.4687453398706081,8
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,1.6150625009694033,0.4423952511167731,7
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,0.8293849387608859,0.1582120451977182,6
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.6447090916559254,0.24790743768115445,1
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,0.7586678874618048,1.039700653084713,3
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,0.775462771438966,0.18878334402685124,4
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.7794497051040513,0.8389336744013175,5
Primary frozen engineering test,test,Frozen engineering test,HorizontalILDMAE,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.6743815182360612,0.48806449973080934,2
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,7.835822961647116,0.3092546370901285,10
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,6.298725562991689,0.41170716208073455,9
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,5.892726720662764,0.37252818157729883,8
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,5.732054197345085,0.33676430711926797,7
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,4.797774423002024,0.22597200137239257,6
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,3.6097610496792503,0.2371819350284697,5
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,3.0700346219267796,0.21920149375146875,1
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,3.3614502402651145,0.24563252593434376,2
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,3.548925619007447,0.2672844638329812,3
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,3.5874447316845934,0.25559269544901697,4
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,0.6178892695090987,0.07013837077374023,9
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,0.6234833896160126,0.08819874305440677,10
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,0.5838963294571097,0.08065174072725352,7
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,0.5831033472310413,0.08021285847986977,6
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,5,MCA,MCA,AVAILABLE,,44,0.6106874624436552,0.08862066036058382,8
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.4295869212258946,0.058056000821317406,5
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,0.4105746265162121,0.058734004214157434,3
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,8,RANF,RANF,AVAILABLE,,44,0.40858598188920453,0.05193856792487029,2
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.40270265394991095,0.052803476437396725,1
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.42725688354535535,0.059033212817467366,4
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,0.3032237338748845,0.05838826937099527,6
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,0.32813836905089294,0.07156445603736837,9
