Method,MethodLabel,BandIndex,BandCenter_Hz,ILDAbsoluteError_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
SHOnly,SH only,0,247.59120178222656,0.19005412117324091,0.17753362103619358,0.2027587615165182
SHOnly,SH only,1,301.46255493164062,0.25069999288428912,0.23433396834880116,0.26639732567762786
SHOnly,SH only,2,361.42340087890625,0.30784157392653549,0.28564443185248162,0.32960884739560159
SHOnly,SH only,3,428.16201782226562,0.47047243707559327,0.44017040458592499,0.50115227972749954
SHOnly,SH only,4,502.444580078125,0.71552060950886121,0.66991354640234602,0.75916635324670512
SHOnly,SH only,5,585.12384033203125,0.62901067801497201,0.57738386114889928,0.68401053126224054
SHOnly,SH only,6,677.14886474609375,0.63916273889216513,0.57740902680565009,0.70683527214621955
SHOnly,SH only,7,779.576171875,0.91124051199717959,0.83544025053693494,0.99187909186902368
SHOnly,SH only,8,893.58160400390625,1.1360420029271732,1.0537865792824463,1.2226237890395251
SHOnly,SH only,9,1020.4738159179688,1.3881316848776557,1.2791861410168086,1.5013374850492587
SHOnly,SH only,10,1161.7095947265625,1.7248481173406949,1.5906083601442249,1.8575909990478645
SHOnly,SH only,11,1318.9102783203125,1.7640718059106306,1.6024086389351975,1.9327321412888441
SHOnly,SH only,12,1493.88037109375,2.0351499142971905,1.8296421955254945,2.2515164263885126
SHOnly,SH only,13,1688.628662109375,2.460055711594495,2.2418473173271525,2.6820996293290098
SHOnly,SH only,14,1905.390625,2.9313890608874233,2.7359494155103508,3.1287992165847256
SHOnly,SH only,15,2146.65478515625,3.6043958880684595,3.4215769225900821,3.7847965167327358
SHOnly,SH only,16,2415.19091796875,4.2796633947979323,4.0747942083261233,4.4961216269568958
SHOnly,SH only,17,2714.081298828125,4.8761202205311172,4.6579193799333138,5.109108136323365
SHOnly,SH only,18,3046.757568359375,5.0580483404072849,4.8296780305829916,5.2957360388203094
SHOnly,SH only,19,3417.03857421875,5.2440666718916455,4.992548914660107,5.5014651738784535
SHOnly,SH only,20,3829.1748046875,5.4590873176401313,5.1716381860050289,5.7681041519750247
SHOnly,SH only,21,4287.89794921875,5.5111039009961216,5.1568968718702148,5.8820900106971914
SHOnly,SH only,22,4798.4736328125,5.777569012208418,5.3571986519477583,6.2265391773798253
SHOnly,SH only,23,5366.763671875,6.6058160445906902,6.1184093203056937,7.0946743398904797
SHOnly,SH only,24,5999.29150390625,7.7577882788398052,7.3122134425423368,8.2055709107355632
SHOnly,SH only,25,6703.318359375,8.7337346727197822,8.2920138483697716,9.1574131803079091
SHOnly,SH only,26,7486.92626953125,8.9317842288450766,8.3481955400922097,9.5036882015791804
SHOnly,SH only,27,8359.1103515625,7.6570331779393284,6.9936019365083091,8.3554345434362229
SHOnly,SH only,28,9329.884765625,6.7731918584216722,6.2377045360478487,7.3488820108500397
SHOnly,SH only,29,10410.3916015625,7.6409540718252007,7.1419482957233082,8.1576839894056334
SHOnly,SH only,30,11613.0361328125,9.0004958781329076,8.4904619349674739,9.5078174555843535
SHOnly,SH only,31,12951.625,9.5287222970615737,9.0138949830423698,10.060866376486691
SHOnly,SH only,32,14441.5224609375,9.8301444920626562,9.2760189571163867,10.393110535361551
SHOnly,SH only,33,16099.8349609375,10.318898807872426,9.7833622114224852,10.855541544610803
