SubjectID,MCAFullSphereERB_dB,CorrectedFullSphereERB_dB,FullSphereERBImprovement_percent,MCAContralateral25ERB_dB,CorrectedContralateral25ERB_dB,Contralateral25ERBImprovement_percent,MCAContralateralHighFrequency_dB,CorrectedContralateralHighFrequency_dB,ContralateralHighFrequencyImprovement_percent,MCAILDMAE_dB,CorrectedILDMAE_dB,ILDImprovement_percent
8,0.803014834666463,0.615092180776348,23.4021397584977,1.7695753091728,1.35560768552959,23.3936143603135,4.06777876043207,3.5440491839408,12.875075252019,0.8591031226149,0.578894314403144,32.6164346090221
18,0.799164498763744,0.62031443793949,22.3796303640769,1.96150798405708,1.46637838930062,25.2422931122796,4.78943945485889,4.1723831745461,12.8836847428312,0.83924850586393,0.459023975468887,45.3053568446495
22,0.810865565176689,0.586706525837821,27.6444146805054,1.83182988423076,1.28733599498432,29.7240422778173,4.27730790822881,3.64898785751717,14.6896146873798,0.654774390507663,0.397085217426695,39.3554141421407
26,0.768401466788743,0.549245980513407,28.5209614696882,1.89681616992369,1.27115859166568,32.9846185507362,3.95727705926321,3.45415359980212,12.713880072748,0.80608059215375,0.468710352624381,41.853164908481
31,0.754287219542425,0.598480337292938,20.6561742281679,1.62537783440873,1.25168420030854,22.9911855686238,3.99892316905508,3.44409263877074,13.8744983794085,0.722604334274497,0.63399611204947,12.2623430309189
33,0.831904979507676,0.670957759165958,19.3468273788873,1.76102030338353,1.26740973531921,28.0298056255183,4.3728028471816,3.92066493463962,10.3397735581287,0.777662884751815,0.664125377264556,14.5998362161123
45,0.799820702681362,0.557209904764641,30.3331480547302,1.8131978157666,1.22828947785357,32.2583853138901,4.48572017037714,3.79215246336434,15.4616801911318,0.810228386301589,0.491670863852456,39.3170034319876
47,0.805897341281505,0.635448444737281,21.1501996362444,2.00236435574273,1.49443911163971,25.366274756455,4.4214322060723,3.93685503425957,10.9597331640009,1.20988315234923,0.887195633676892,26.6709655428936
59,0.852831106267964,0.624679518636792,26.7522591465473,1.85568955268304,1.30113221136494,29.8841657278446,4.37453345495706,3.77426840242863,13.7218073357796,0.838773930391219,0.625352114083938,25.4444980434404
70,0.798881760999914,0.598495254726437,25.0833747941204,1.82595498425428,1.26704540972056,30.6091650316331,3.84916151677882,3.38529900360621,12.0510015272312,0.8992834579849,0.549053123323486,38.9454883831851
73,0.795522007140032,0.634144529529947,20.2857339158033,1.94101323520952,1.50726705328349,22.3463794093713,4.34747238154477,3.9424984446993,9.315158356488,0.810339936584063,0.615771996391176,24.0106566897192
81,0.812299117174938,0.647258500326834,20.3177146642844,2.03907989268223,1.38306318356155,32.1721925401243,4.15817834045523,3.62913135031033,12.7230471333508,1.397117239811,1.38979028919924,0.52443348367403
