SubjectID,Method,Ear,Region,DirectionCount,MeanERBError_dB
59,MCA+ResidualMLP,Left,Frontal25deg,42,0.47718859739117
59,MCA+ResidualMLP,Left,Contralateral25deg,42,1.3400458354176
59,MCA+ResidualMLP,Right,FullSphere,900,0.598656435187808
59,MCA+ResidualMLP,Right,Frontal25deg,42,0.418982641551617
59,MCA+ResidualMLP,Right,Contralateral25deg,41,1.26221858731229
70,MCA,Left,FullSphere,900,0.804455136700549
70,MCA,Left,Frontal25deg,42,0.518901357985803
70,MCA,Left,Contralateral25deg,42,1.96207208271967
70,MCA,Right,FullSphere,900,0.793308385299278
70,MCA,Right,Frontal25deg,42,0.463177308045202
70,MCA,Right,Contralateral25deg,41,1.68983788578888
70,MCA+ResidualMLP,Left,FullSphere,900,0.603561827212676
70,MCA+ResidualMLP,Left,Frontal25deg,42,0.40272215886273
70,MCA+ResidualMLP,Left,Contralateral25deg,42,1.31637490830796
70,MCA+ResidualMLP,Right,FullSphere,900,0.593428682240197
70,MCA+ResidualMLP,Right,Frontal25deg,42,0.295835641052417
70,MCA+ResidualMLP,Right,Contralateral25deg,41,1.21771591113316
73,MCA,Left,FullSphere,900,0.803398789385018
73,MCA,Left,Frontal25deg,42,0.6203426085093
73,MCA,Left,Contralateral25deg,42,1.93976183695475
73,MCA,Right,FullSphere,900,0.787645224895047
73,MCA,Right,Frontal25deg,42,0.512388783859443
73,MCA,Right,Contralateral25deg,41,1.94226463346428
73,MCA+ResidualMLP,Left,FullSphere,900,0.648857003155437
73,MCA+ResidualMLP,Left,Frontal25deg,42,0.484407950184694
73,MCA+ResidualMLP,Left,Contralateral25deg,42,1.52952527837825
73,MCA+ResidualMLP,Right,FullSphere,900,0.619432055904458
73,MCA+ResidualMLP,Right,Frontal25deg,42,0.448128193038535
73,MCA+ResidualMLP,Right,Contralateral25deg,41,1.48500882818873
81,MCA,Left,FullSphere,900,0.851837961354286
81,MCA,Left,Frontal25deg,42,0.642494308980024
81,MCA,Left,Contralateral25deg,42,2.13171943450881
81,MCA,Right,FullSphere,900,0.772760272995591
81,MCA,Right,Frontal25deg,42,0.540718480458414
81,MCA,Right,Contralateral25deg,41,1.94644035085566
81,MCA+ResidualMLP,Left,FullSphere,900,0.668903059313842
81,MCA+ResidualMLP,Left,Frontal25deg,42,0.454636861549
81,MCA+ResidualMLP,Left,Contralateral25deg,42,1.46192386650686
81,MCA+ResidualMLP,Right,FullSphere,900,0.625613941339826
81,MCA+ResidualMLP,Right,Frontal25deg,42,0.409147233529528
81,MCA+ResidualMLP,Right,Contralateral25deg,41,1.30420250061623
