Method,MethodLabel,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
MCA,MCA,14,FullSphereERB,44,1.39660035975154,0.198544964398246,1.35269398492312,1.46468686967859
MCA,MCA,26,FullSphereERB,44,1.08977880065106,0.144820239440929,1.05830956237767,1.13788195289885
MCA,MCA,50,FullSphereERB,44,1.00702732896005,0.130934881701079,0.9784168064682,1.05056826475494
MCA,MCA,14,Contralateral25ERB,44,2.60312005547928,0.365849357843977,2.504640107168,2.71785968027742
MCA,MCA,26,Contralateral25ERB,44,1.75597612152073,0.177617670791893,1.70565802433907,1.80935736835405
MCA,MCA,50,Contralateral25ERB,44,1.68913801403006,0.175455739304711,1.64103608969161,1.74453807777591
MCA,MCA,14,ContralateralHighFrequency,44,5.28397114030486,0.368599525906322,5.17594801738352,5.39274252079149
MCA,MCA,26,ContralateralHighFrequency,44,4.7327737066856,0.236337701124315,4.6642391024977,4.80254899305516
MCA,MCA,50,ContralateralHighFrequency,44,4.64050747323087,0.242732486930352,4.56974206434064,4.71129355624578
MCA,MCA,14,HorizontalILDMAE,44,1.08004605278546,0.231684549737611,1.01602503021501,1.15198443941674
MCA,MCA,26,HorizontalILDMAE,44,0.835770343050671,0.182547114611786,0.783225567204403,0.891333401397394
MCA,MCA,50,HorizontalILDMAE,44,0.80164249560483,0.167851051453554,0.75424659403232,0.85409501486075
MCARv351,MCAR v3.5.1,14,FullSphereERB,44,1.18174379084794,0.190250880066991,1.13910151910818,1.2452349527015
MCARv351,MCAR v3.5.1,26,FullSphereERB,44,0.826642043204812,0.152087479749268,0.793808639121658,0.876563724582748
MCARv351,MCAR v3.5.1,50,FullSphereERB,44,0.838240207590897,0.137836769598916,0.809164983937977,0.886727178606407
MCARv351,MCAR v3.5.1,14,Contralateral25ERB,44,1.88706274549689,0.266221378529765,1.81702424243904,1.97393834163019
MCARv351,MCAR v3.5.1,26,Contralateral25ERB,44,1.28541637759976,0.17291505137067,1.241716756614,1.34137044265104
MCARv351,MCAR v3.5.1,50,Contralateral25ERB,44,1.3485286606146,0.167155030550373,1.30601858806458,1.4015039222658
MCARv351,MCAR v3.5.1,14,ContralateralHighFrequency,44,4.26226412900806,0.401232628884722,4.14817408696478,4.38164372507598
MCARv351,MCAR v3.5.1,26,ContralateralHighFrequency,44,3.52736429150754,0.262800493313584,3.45097003135067,3.60237249559772
MCARv351,MCAR v3.5.1,50,ContralateralHighFrequency,44,3.53757335916208,0.237822533638114,3.4675299615083,3.60877209773871
MCARv351,MCAR v3.5.1,14,HorizontalILDMAE,44,0.777182762075908,0.226798890644915,0.713026028887942,0.84668369621131
MCARv351,MCAR v3.5.1,26,HorizontalILDMAE,44,0.576863565926869,0.151854727434352,0.53416074472457,0.622082103850263
MCARv351,MCAR v3.5.1,50,HorizontalILDMAE,44,0.653135928757175,0.14028176172195,0.613382946699229,0.695529520208277
FSPAE,FSP-AE,14,FullSphereERB,44,2.10828596446103,0.152284381421992,2.06460206996876,2.15272411846635
FSPAE,FSP-AE,26,FullSphereERB,44,1.15548523402876,0.161804051209787,1.11225653426061,1.2058538062929
FSPAE,FSP-AE,50,FullSphereERB,44,2.03675281175535,0.0884695640437639,2.01292883581309,2.0643663543699
FSPAE,FSP-AE,14,Contralateral25ERB,44,2.47861773801434,0.218891778679457,2.41668054686539,2.54427756972449
FSPAE,FSP-AE,26,Contralateral25ERB,44,1.84641365565212,0.174724894447297,1.79620999131059,1.89883761958356
FSPAE,FSP-AE,50,Contralateral25ERB,44,2.121793386952,0.183369323691536,2.07209146145609,2.17843287914661
FSPAE,FSP-AE,14,ContralateralHighFrequency,44,3.95740311378976,0.317934937726213,3.86512284619451,4.05165099858749
FSPAE,FSP-AE,26,ContralateralHighFrequency,44,3.09323202782468,0.253914806447918,3.02169064602779,3.1693143609281
FSPAE,FSP-AE,50,ContralateralHighFrequency,44,3.61235756261154,0.256636977808937,3.53817050085353,3.68812942799279
FSPAE,FSP-AE,14,HorizontalILDMAE,44,1.81396863120825,0.597695575932759,1.63977359740807,1.99150906983241
FSPAE,FSP-AE,26,HorizontalILDMAE,44,0.59613584395779,0.151042747513565,0.552845952192704,0.639362637395976
FSPAE,FSP-AE,50,HorizontalILDMAE,44,1.18542674310492,0.247558035313344,1.11242974729892,1.25740600598882
RANF,RANF,14,FullSphereERB,44,1.10214764507412,0.182029389313347,1.05591974200482,1.16060532528449
RANF,RANF,26,FullSphereERB,44,1.07119578066718,0.145968109677653,1.03272240877242,1.11780221429655
RANF,RANF,50,FullSphereERB,44,1.02815122323733,0.118846835986273,0.996020058610763,1.06550343850288
RANF,RANF,14,Contralateral25ERB,44,1.58139696039479,0.268303517917581,1.50751212339426,1.66588415750755
RANF,RANF,26,Contralateral25ERB,44,1.62876631316364,0.230006606792223,1.56367960642176,1.69944074807337
RANF,RANF,50,Contralateral25ERB,44,1.59669617573731,0.196168379986775,1.54032423866208,1.65545198092083
RANF,RANF,14,ContralateralHighFrequency,44,3.54853794081041,0.297074962869321,3.46362448641615,3.63760224126044
RANF,RANF,26,ContralateralHighFrequency,44,3.45555967387856,0.279019921775135,3.37468994415538,3.53820154743618
RANF,RANF,50,ContralateralHighFrequency,44,3.22604639120823,0.211738884275361,3.16443098583023,3.28906341017039
RANF,RANF,14,HorizontalILDMAE,44,0.763044993804952,0.189467191356571,0.709192157462721,0.819549874770838
RANF,RANF,26,HorizontalILDMAE,44,0.787919904992058,0.178094159556989,0.736807120626576,0.838563218649522
RANF,RANF,50,HorizontalILDMAE,44,0.766345798371381,0.181671331728346,0.714093585646226,0.821252011207212
HYBRID,Hybrid E190,14,FullSphereERB,44,1.10569543279502,0.186387260220926,1.06253905201659,1.1679652323151
HYBRID,Hybrid E190,26,FullSphereERB,44,0.800820413487001,0.161385721570774,0.763844547380798,0.856032069921747
HYBRID,Hybrid E190,50,FullSphereERB,44,0.817103344489569,0.14586686178544,0.784480992977547,0.867760863596863
HYBRID,Hybrid E190,14,Contralateral25ERB,44,1.66500439747426,0.248478371221073,1.60311252150561,1.74521957755328
HYBRID,Hybrid E190,26,Contralateral25ERB,44,1.21232481735827,0.189457327846051,1.16271443589546,1.27212486968115
HYBRID,Hybrid E190,50,Contralateral25ERB,44,1.26341176897022,0.189532142803193,1.21443935261221,1.32562622179193
HYBRID,Hybrid E190,14,ContralateralHighFrequency,44,4.03451569326181,0.361156929333262,3.93292220835777,4.14258535137418
HYBRID,Hybrid E190,26,ContralateralHighFrequency,44,3.49204223314706,0.276135570565133,3.4128779661425,3.57381226619428
HYBRID,Hybrid E190,50,ContralateralHighFrequency,44,3.50064444884304,0.262369146157477,3.4253046910665,3.57943035867009
HYBRID,Hybrid E190,14,HorizontalILDMAE,44,0.753051035788005,0.189622105110234,0.698304733788833,0.809660814149533
HYBRID,Hybrid E190,26,HorizontalILDMAE,44,0.623229851287218,0.177303576994398,0.570895833033276,0.675369920063078
HYBRID,Hybrid E190,50,HorizontalILDMAE,44,0.644999744407452,0.152747111027438,0.602102680264093,0.69057739537046
BOUNDED,Bounded E25,14,FullSphereERB,44,1.11146119240777,0.187757704751522,1.06901265045424,1.17491799726992
BOUNDED,Bounded E25,26,FullSphereERB,44,0.792813356696934,0.157144572772249,0.758571415382297,0.847734841722268
BOUNDED,Bounded E25,50,FullSphereERB,44,0.810526364606584,0.142800967870586,0.779686867088591,0.859546715756552
BOUNDED,Bounded E25,14,Contralateral25ERB,44,1.72665130691356,0.248137791909323,1.66485836699368,1.80512806092395
BOUNDED,Bounded E25,26,Contralateral25ERB,44,1.21385744357746,0.180295519016745,1.16715664977034,1.27383525755545
BOUNDED,Bounded E25,50,Contralateral25ERB,44,1.27201204389603,0.18121116977526,1.22578303927499,1.33176571516912
BOUNDED,Bounded E25,14,ContralateralHighFrequency,44,4.05235915518005,0.373342001266583,3.94444485143576,4.16296497358024
BOUNDED,Bounded E25,26,ContralateralHighFrequency,44,3.49996357940821,0.276476362909181,3.42126590753289,3.58290366216744
BOUNDED,Bounded E25,50,ContralateralHighFrequency,44,3.53390649482962,0.260303153666835,3.45973922312127,3.61339118492102
BOUNDED,Bounded E25,14,HorizontalILDMAE,44,0.726235488200273,0.212688414602085,0.665735119106405,0.788716791618359
BOUNDED,Bounded E25,26,HorizontalILDMAE,44,0.559119873776835,0.154390151669348,0.514273726337758,0.605175629108181
BOUNDED,Bounded E25,50,HorizontalILDMAE,44,0.614060887189145,0.132784418097883,0.576689588074104,0.653935201948143
