DirectionCount,ReferenceDirectionCount,Metric,QMinusQ26Mean_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB,QWins,Ties,QLosses
14,26,FullSphereERB,0.318647835710841,0.301339809498435,0.336276945252417,0,0,44
50,26,FullSphereERB,0.0177130079096497,0.0107869169204573,0.0239559428958982,9,0,35
14,26,Contralateral25ERB,0.512793863336093,0.476090955541492,0.55086249014457,0,0,44
50,26,Contralateral25ERB,0.0581546003185669,0.043768855502995,0.0724108811882352,4,0,40
14,26,ContralateralHighFrequency,0.552395575771833,0.484662461110445,0.622647560711312,0,0,44
50,26,ContralateralHighFrequency,0.033942915421407,0.0169544766378335,0.051941438544809,13,0,31
14,26,HorizontalILDMAE,0.167115614423438,0.0995746024451729,0.235061985198545,9,0,35
50,26,HorizontalILDMAE,0.0549410134123101,0.0203934510232561,0.0900073992813877,15,0,29
