DirectionCount,Metric,SubjectCount,Mean_dB,Std_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
14,FullSphereERB,44,1.11146119240777,0.187757704751522,1.06978292815641,1.17727221239936
26,FullSphereERB,44,0.792813356696934,0.157144572772249,0.757978839877884,0.846560286714712
50,FullSphereERB,44,0.810526364606584,0.142800967870586,0.779057602626457,0.858855329833125
14,Contralateral25ERB,44,1.72665130691356,0.248137791909323,1.66401863677513,1.80574452426338
26,Contralateral25ERB,44,1.21385744357746,0.180295519016745,1.16734700526998,1.27377957580035
50,Contralateral25ERB,44,1.27201204389603,0.18121116977526,1.22540492879139,1.33013718173537
14,ContralateralHighFrequency,44,4.05235915518005,0.373342001266583,3.94546769460246,4.16268545744696
26,ContralateralHighFrequency,44,3.49996357940821,0.276476362909181,3.41975303846435,3.58052791423174
50,ContralateralHighFrequency,44,3.53390649482962,0.260303153666835,3.45979690132528,3.61095897360443
14,HorizontalILDMAE,44,0.726235488200273,0.212688414602085,0.664837005335437,0.789285384713103
26,HorizontalILDMAE,44,0.559119873776835,0.154390151669348,0.514300695086537,0.603172427571814
50,HorizontalILDMAE,44,0.614060887189145,0.132784418097883,0.576815837637444,0.653575073290763
