candidate,training_budget_epochs,selected_epoch,elapsed_seconds,sampled_validation_mae_db,full_validation_mae_db,full_validation_rmse_db,mca_mae_db,mca_rmse_db,mae_improvement_vs_mca_percent,wandb_run_id
e12,12,12,346.34525920000004,2.9128087063630423,2.8726426137551893,4.2651426865882085,3.322288971698815,5.029169521740049,13.534233830168741,6wi22jix
e20,20,19,602.7465629999999,2.8660825019081435,2.8255148374916392,4.218638875081485,3.322288971698815,5.029169521740049,14.95276715658952,ek1nvkhh
