epoch,train_loss,train_mae_db,validation_mae_db,baseline_validation_mae_db,learning_rate,epoch_seconds
1,0.3220461009442806,3.1096269388993583,3.1346142614881196,3.375256342192491,0.001,30.958007599999995
2,0.3129476950317621,3.0553076334794365,3.094677952428659,3.375256342192491,0.0009829629131445341,28.315513999999993
3,0.29953054038186866,2.9760538470745086,3.0392920995752015,3.375256342192491,0.0009330127018922195,28.855855699999992
4,0.29437758944928644,2.9439861317475637,3.0098805824915567,3.375256342192491,0.0008535533905932737,28.275792699999997
5,0.28734293567637603,2.9011885992685955,2.9832470590869584,3.375256342192491,0.00075,28.23025149999998
6,0.28457622858385245,2.8838680545488993,2.9863071839014688,3.375256342192491,0.0006294095225512604,28.608500700000008
7,0.2843322697778543,2.8805071568489073,2.968817859888077,3.375256342192491,0.0005,28.685292000000004
8,0.27884951437513034,2.8446730252106986,2.9415813808639846,3.375256342192491,0.0003705904774487397,28.601488500000016
9,0.2750844785819451,2.818414637645086,2.9303342401981354,3.375256342192491,0.0002500000000000001,28.403899299999978
10,0.2763644735515118,2.8270530486106873,2.931298680603504,3.375256342192491,0.00014644660940672628,28.549156900000014
11,0.2765718775987625,2.8296219968795775,2.9217400352160134,3.375256342192491,6.698729810778065e-05,29.069140000000004
12,0.2747037107745806,2.815090739329656,2.9128087063630423,3.375256342192491,1.70370868554659e-05,29.479929099999993
