epoch,train_total_loss,train_residual_mae_db,train_erb_mae_db,train_contralateral_high_frequency_mae_db,train_ild_mae_db,train_ild_spectral_proxy_mae_db,train_cnn_delta_mean_absolute_db,validation_total_loss,validation_residual_mae_db,validation_erb_mae_db,validation_contralateral_high_frequency_mae_db,validation_ild_mae_db,validation_ild_spectral_proxy_mae_db,validation_cnn_delta_mean_absolute_db,learning_rate,epoch_seconds,skipped_optimizer_steps
1,0.8516056809425354,2.6425781030654907,1.0849589774608612,3.563936854362488,0.6427801833748817,0.6439769826531411,1.043328296490298,0.880171445508798,2.7125979314247766,1.129513352488478,3.6268723011016846,0.6678719532986482,0.6702531352639198,1.0883133855798162,0.0001,49.800978699999995,0
2,0.8441106110811234,2.6398667912483216,1.0735658068656921,3.541588819980621,0.6317162286639214,0.6331284045577049,1.0865511474984366,0.8665550152460734,2.69068451722463,1.109854090337952,3.5922797297437987,0.6493061718841394,0.6505074041585127,1.1182650965781593,9.330127018922194e-05,49.3727621,0
3,0.8334996569156646,2.6243566875457764,1.0625133920907974,3.520537084579468,0.6175236871242523,0.6190168388485908,1.1337329038641202,0.8679050039499998,2.6893188854058585,1.1068305366983016,3.599693891902765,0.6538394649202625,0.6552892650167147,1.1408603203197727,7.500000000000001e-05,49.162461699999994,0
4,0.8268555275201798,2.6133702273368837,1.0510612337589265,3.5094084377288817,0.6103743393421173,0.6114780567288399,1.1558621584571658,0.8596218427022299,2.682243632773558,1.0961294304579496,3.585380792617798,0.6397166928897301,0.6413899076481661,1.1636658831478386,5e-05,49.39017770000001,0
5,0.823786963224411,2.6066428599357603,1.0466437667608262,3.502663495540619,0.6074407016038894,0.6086713018119335,1.1618627027980988,0.8607418394337097,2.6851245189706483,1.1013529965033133,3.5869099323948226,0.6412154945234457,0.6428483398631215,1.197321755748183,2.500000000000001e-05,49.28682840000002,0
6,0.8111437819004059,2.604935878276825,1.049839194893837,3.4899271850585936,0.5780660489201546,0.5792379693984986,1.1900958784986995,0.8577948597570261,2.682673109074434,1.099313821643591,3.5850385949015617,0.6357048870995641,0.6371619335065285,1.1920582861682414,6.698729810778065e-06,49.282331399999975,0
