Metric,SubjectCount,MCAMean_dB,MCAStd_dB,CorrectedMean_dB,CorrectedStd_dB,AbsoluteImprovement_dB,RelativeImprovement_percent,ImprovedSubjectCount
FullSphereERB,12,0.802740883332621,0.0254812935812972,0.584592572840183,0.0390492146727843,0.218148310492439,27.1754329475265,12
Contralateral25ERB,12,1.86028561012625,0.115892384607672,1.3044147962956,0.101646309909479,0.555870813830647,29.8809392925919,12
ContralateralHighFrequency,12,4.25833560576708,0.264056369203513,3.62014763925983,0.229768537899605,0.638187966507255,14.9867935642027,12
ILDMAE,12,0.885424994465712,0.209155511684359,0.66156617157618,0.243256769350847,0.223858822889533,25.2826410242253,12
