SubjectID,Method,DirectionCount,MeanAbsoluteILDError_dB,RMSEILDError_dB,MaximumAbsoluteILDError_dB
8,MCA,360,0.8591031226149,1.05137459383311,2.28326449478528
8,MCA+ResidualMLPCNN,360,0.626022606701401,0.88240550924651,3.00707100436217
18,MCA,360,0.83924850586393,1.01545444560495,3.41666292215985
18,MCA+ResidualMLPCNN,360,0.503889246475527,0.665534661844627,2.90875586894683
22,MCA,360,0.654774390507663,0.892854878709864,1.96992940686959
22,MCA+ResidualMLPCNN,360,0.427952518301876,0.593041532647771,1.66768604825668
26,MCA,360,0.80608059215375,1.0372645093841,3.33895003702608
26,MCA+ResidualMLPCNN,360,0.489339970109213,0.605538366061538,2.18824450002711
31,MCA,360,0.722604334274497,0.855524769482751,2.52944386986538
31,MCA+ResidualMLPCNN,360,0.577023670302985,0.718222098798745,2.40675161653099
33,MCA,360,0.777662884751815,0.967638497658521,2.84899116660305
33,MCA+ResidualMLPCNN,360,0.705277462478537,0.909027160829945,2.19540336036485
45,MCA,360,0.810228386301589,0.991344940015202,2.6139594724102
45,MCA+ResidualMLPCNN,360,0.533616481530799,0.717137554618509,2.40286564526955
47,MCA,360,1.20988315234923,1.54632010500258,3.81561211238414
47,MCA+ResidualMLPCNN,360,0.859966804806894,1.10363094850919,2.75159193798112
59,MCA,360,0.838773930391219,1.04793947481419,2.84298111720142
59,MCA+ResidualMLPCNN,360,0.656729452756982,0.761174150536929,1.93773725650298
70,MCA,360,0.8992834579849,1.05853963984603,2.44805547979104
70,MCA+ResidualMLPCNN,360,0.584102293706163,0.777882577110744,2.60284369163035
73,MCA,360,0.810339936584063,0.965697321522262,2.36259885909298
73,MCA+ResidualMLPCNN,360,0.628723478537254,0.740487769526844,1.65308013448518
81,MCA,360,1.397117239811,1.7489282692148,4.10131052299667
81,MCA+ResidualMLPCNN,360,1.34615007320653,1.71491379703019,4.70674808622591
