SubjectID,LeftMaxPhaseError_rad,RightMaxPhaseError_rad,LeftMaxMagnitudeIdentityError_dB,RightMaxMagnitudeIdentityError_dB,LeftPredictionMinimum_dB,LeftPredictionMaximum_dB,RightPredictionMinimum_dB,RightPredictionMaximum_dB
8,5.89385141369765e-16,6.02573879464064e-16,7.105427357601e-15,7.105427357601e-15,-11.3336553573608,39.3281745910645,-11.6351661682129,48.4687232971191
18,5.78666640036406e-16,5.80508472708119e-16,7.105427357601e-15,7.105427357601e-15,-11.7621183395386,46.9453010559082,-11.0638818740845,40.2803153991699
22,5.93634758956071e-16,5.73797358735993e-16,7.105427357601e-15,7.105427357601e-15,-11.2939825057983,43.9301872253418,-10.5719423294067,43.9301872253418
26,5.71810378514375e-16,5.84790957026682e-16,7.105427357601e-15,7.105427357601e-15,-11.6907081604004,41.4228820800781,-11.5796251296997,44.6918983459473
31,5.96360167721522e-16,5.8591987744665e-16,7.105427357601e-15,7.105427357601e-15,-11.103554725647,41.4228820800781,-11.2543106079102,42.5019760131836
33,5.7855431286634e-16,6.22132764826835e-16,7.105427357601e-15,7.105427357601e-15,-11.2146377563477,50.1191024780273,-11.0083408355713,41.5180969238281
45,5.75141566928882e-16,5.76207902573181e-16,7.105427357601e-15,7.105427357601e-15,-11.7779874801636,41.9306907653809,-11.6351661682129,45.7392539978027
47,5.97197182509499e-16,6.02223145546221e-16,7.105427357601e-15,7.105427357601e-15,-11.9922189712524,41.2959289550781,-11.500280380249,44.8505897521973
59,5.80670505871243e-16,5.85429151949111e-16,7.105427357601e-15,7.105427357601e-15,-11.087685585022,45.0410194396973,-11.4447383880615,48.9447937011719
70,5.99812723806069e-16,5.91125524063975e-16,7.105427357601e-15,7.105427357601e-15,-11.7700529098511,43.8984489440918,-11.6272315979004,53.3563804626465
73,5.70448519815446e-16,5.7898095257675e-16,7.105427357601e-15,7.105427357601e-15,-12.2461233139038,44.0254020690918,-12.1191711425781,46.4692306518555
81,5.8499504767117e-16,5.8248562164646e-16,7.105427357601e-15,7.105427357601e-15,-9.95305061340332,49.1986999511719,-10.2942352294922,51.9599075317383
