SubjectID,MCAFullSphereERB_dB,CorrectedFullSphereERB_dB,FullSphereERBImprovement_percent,MCAContralateral25ERB_dB,CorrectedContralateral25ERB_dB,Contralateral25ERBImprovement_percent,MCAContralateralHighFrequency_dB,CorrectedContralateralHighFrequency_dB,ContralateralHighFrequencyImprovement_percent,MCAILDMAE_dB,CorrectedILDMAE_dB,ILDImprovement_percent
8,0.803014834666463,0.583909475142902,27.2853439394514,1.7695753091728,1.32157113676287,25.3170447218408,4.06777876043207,3.45448829559932,15.0767900850048,0.8591031226149,0.626022606701401,27.1306796329711
18,0.799164498763744,0.585667495762646,26.7150259216174,1.96150798405708,1.43011938346755,27.0908201704299,4.78943945485889,4.04576447213748,15.5273908299844,0.83924850586393,0.503889246475527,39.9594705316968
22,0.810865565176689,0.569266273676201,29.7952338681249,1.83182988423076,1.25832117900564,31.3079675226474,4.27730790822881,3.5569719374054,16.8408724898577,0.654774390507663,0.427952518301876,34.6412253585431
26,0.768401466788743,0.516675559006289,32.7596860056049,1.89681616992369,1.24852857908258,34.1776710426922,3.95727705926321,3.36681506056977,14.9209163232908,0.80608059215375,0.489339970109213,39.2939149171479
31,0.754287219542425,0.575652246017185,23.6826196834683,1.62537783440873,1.22541633238767,24.6072939813749,3.99892316905508,3.31143092140951,17.1919343928787,0.722604334274497,0.577023670302985,20.1466635427362
33,0.831904979507676,0.643228860468911,22.6800083767288,1.76102030338353,1.20769868696273,31.4205131739638,4.3728028471816,3.85609766173593,11.8163384790765,0.777662884751815,0.705277462478537,9.30807213415864
45,0.799820702681362,0.517676062428832,35.2759861437262,1.8131978157666,1.19300640218833,34.2042885881186,4.48572017037714,3.6642152390414,18.3137801764989,0.810228386301589,0.533616481530799,34.1399918155703
47,0.805897341281505,0.619081382957204,23.1811111359709,2.00236435574273,1.471824000695,26.4956951279199,4.4214322060723,3.8690281921855,12.4937800273887,1.20988315234923,0.859966804806894,28.9214993086648
59,0.852831106267964,0.597699431145733,29.9158500724371,1.85568955268304,1.25054834772386,32.6100453647671,4.37453345495706,3.61469061455192,17.3696886360331,0.838773930391219,0.656729452756982,21.7036404015715
70,0.798881760999914,0.574009911521818,28.1483268808937,1.82595498425428,1.23458661751434,32.3867987896454,3.84916151677882,3.38473053255704,12.0657702254709,0.8992834579849,0.584102293706163,35.0480331290636
73,0.795522007140032,0.600848411734024,24.4711766184667,1.94101323520952,1.46888115223761,24.3240012178973,4.34747238154477,3.78260785973905,12.9929410064478,0.810339936584063,0.628723478537254,22.4123790334711
81,0.812299117174938,0.631395764220449,22.2705342317305,2.03907989268223,1.34247573751905,34.1626709999511,4.15817834045523,3.53493088418563,14.9884734429493,1.397117239811,1.34615007320653,3.64802359831762
