Method,Role,FullSphereERB_Mean_dB,Contralateral25ERB_Mean_dB,ContralateralHighFrequency_Mean_dB,HorizontalILDMAE_Mean_dB
MLP v2,Perceptual-loss MLP baseline,0.9154134761672129,1.4311066352477584,3.895107505299949,0.7223062727557745
MLP+CNN v3,Frequency CNN,0.8721068469753313,1.3708143708108644,3.6200861668548594,0.7070067633064638
MLP+CNN v3.1,Horizontal strict-ILD fine-tuning,0.8999321342540944,1.383141149150534,3.68413447620686,0.6877171039705807
MLP+CNN v3.2,Dual global-magnitude / horizontal-ILD sampling,0.8678048109141233,1.3653267299981573,3.6118538173337766,0.6869992817524356
