Comparison,Metric,MeanReduction_dB,Bootstrap95CI_Lower_dB,Bootstrap95CI_Upper_dB,ImprovedSubjectCount,SubjectCount,ExactSignTestP_Uncorrected
v3.2 - v3,FullSphereERB,0.004302036061207788,0.002755870492439416,0.006303059177113613,37,44,5.299581744111492e-06
v3.2 - v3,Contralateral25ERB,0.005487640812707483,0.002426550794923626,0.008593118298221637,31,44,0.009559878856634896
v3.2 - v3,ContralateralHighFrequency,0.008232349521082287,0.004625051448766745,0.012749495630375847,36,44,2.5448598648836196e-05
v3.2 - v3,HorizontalILDMAE,0.020007481554028317,0.005576491387517326,0.03542467100781182,29,44,0.048766765904474596
v3.2 - v3.1,FullSphereERB,0.032127323339971314,0.029946578641442043,0.03437812368946109,44,44,1.1368683772161603e-13
v3.2 - v3.1,Contralateral25ERB,0.017814419152377026,0.012314043338447116,0.024430511401159476,38,44,9.430375484953402e-07
v3.2 - v3.1,ContralateralHighFrequency,0.0722806588730832,0.05520483984600512,0.08943402647945145,40,44,1.7051434042514302e-08
v3.2 - v3.1,HorizontalILDMAE,0.0007178222181453773,-0.006871873277247431,0.008147559390685805,21,44,0.880395821280672
