SubjectID,Method,Ear,Region,DirectionCount,MeanERBError_dB
47,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.66051702339354
59,MCA,Left,FullSphere,900,0.879996310740267
59,MCA,Left,Frontal25deg,42,0.585225602146341
59,MCA,Left,Contralateral25deg,42,1.88442388250568
59,MCA,Right,FullSphere,900,0.825665901795661
59,MCA,Right,Frontal25deg,42,0.643985952716245
59,MCA,Right,Contralateral25deg,41,1.82695522286041
59,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.613677572650374
59,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.413605909143162
59,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.26488635176927
59,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.576280596752027
59,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.384457317656909
59,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.23371137081617
70,MCA,Left,FullSphere,900,0.804455136700549
70,MCA,Left,Frontal25deg,42,0.518901357985803
70,MCA,Left,Contralateral25deg,42,1.96207208271967
70,MCA,Right,FullSphere,900,0.793308385299278
70,MCA,Right,Frontal25deg,42,0.463177308045202
70,MCA,Right,Contralateral25deg,41,1.68983788578888
70,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.58361237986726
70,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.382576469930278
70,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.26408649663326
70,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.563478171903689
70,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.282758521432387
70,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.20836116186305
73,MCA,Left,FullSphere,900,0.803398789385018
73,MCA,Left,Frontal25deg,42,0.6203426085093
73,MCA,Left,Contralateral25deg,42,1.93976183695475
73,MCA,Right,FullSphere,900,0.787645224895047
73,MCA,Right,Frontal25deg,42,0.512388783859443
73,MCA,Right,Contralateral25deg,41,1.94226463346428
73,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.609175733307082
73,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.456163953933437
73,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.48204907342939
73,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.592551495485036
73,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.458610596048962
73,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.45759585699927
81,MCA,Left,FullSphere,900,0.851837961354286
81,MCA,Left,Frontal25deg,42,0.642494308980024
81,MCA,Left,Contralateral25deg,42,2.13171943450881
81,MCA,Right,FullSphere,900,0.772760272995591
81,MCA,Right,Frontal25deg,42,0.540718480458414
81,MCA,Right,Contralateral25deg,41,1.94644035085566
81,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.653501206241352
81,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.468636751462946
81,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.38376762970897
81,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.617921094674921
81,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.398370427115771
81,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.30137094330721
