SubjectID,Method,DirectionCount,MeanAbsoluteILDError_dB,RMSEILDError_dB,MaximumAbsoluteILDError_dB
8,MCA,360,0.8591031226149,1.05137459383311,2.28326449478528
8,MCA+ResidualMLPCNNv31,360,0.638852814132482,0.907514654365,3.09790922833132
18,MCA,360,0.83924850586393,1.01545444560495,3.41666292215985
18,MCA+ResidualMLPCNNv31,360,0.495777260342454,0.641410905236173,2.75618144660874
22,MCA,360,0.654774390507663,0.892854878709864,1.96992940686959
22,MCA+ResidualMLPCNNv31,360,0.405042213045066,0.562688205793485,1.5829331547016
26,MCA,360,0.80608059215375,1.0372645093841,3.33895003702608
26,MCA+ResidualMLPCNNv31,360,0.488892488509962,0.597005019266233,2.02431509642561
31,MCA,360,0.722604334274497,0.855524769482751,2.52944386986538
31,MCA+ResidualMLPCNNv31,360,0.597386696904418,0.751187343821625,2.45231294887223
33,MCA,360,0.777662884751815,0.967638497658521,2.84899116660305
33,MCA+ResidualMLPCNNv31,360,0.714708128191134,0.917912048789588,2.29475538290066
45,MCA,360,0.810228386301589,0.991344940015202,2.6139594724102
45,MCA+ResidualMLPCNNv31,360,0.519159227122656,0.706713893311049,2.2491256191618
47,MCA,360,1.20988315234923,1.54632010500258,3.81561211238414
47,MCA+ResidualMLPCNNv31,360,0.81511911728865,1.05962304660133,2.76297629080293
59,MCA,360,0.838773930391219,1.04793947481419,2.84298111720142
59,MCA+ResidualMLPCNNv31,360,0.628917324117552,0.723227889168672,1.84711863973917
70,MCA,360,0.8992834579849,1.05853963984603,2.44805547979104
70,MCA+ResidualMLPCNNv31,360,0.524158575935243,0.732490658703847,2.46694621393267
73,MCA,360,0.810339936584063,0.965697321522262,2.36259885909298
73,MCA+ResidualMLPCNNv31,360,0.611197997444004,0.72872544256294,1.63194475701404
81,MCA,360,1.397117239811,1.7489282692148,4.10131052299667
81,MCA+ResidualMLPCNNv31,360,1.39073151109887,1.7360999873059,4.60378520827806
