Metric,SubjectCount,MCAMean_dB,MCAStd_dB,CorrectedMean_dB,CorrectedStd_dB,AbsoluteImprovement_dB,RelativeImprovement_percent,ImprovedSubjectCount
FullSphereERB,12,0.802740883332621,0.0254812935812972,0.683797034326625,0.0325992323820338,0.118943849005996,14.8172158009686,12
Contralateral25ERB,12,1.86028561012625,0.115892384607672,1.55824486010612,0.0970896414284184,0.302040750020133,16.2362568616351,12
ContralateralHighFrequency,12,4.25833560576708,0.264056369203513,3.75570863949877,0.242019177341917,0.502626966268309,11.8033666859794,12
ILDMAE,12,0.885424994465712,0.209155511684359,0.772738871827348,0.300132587009909,0.112686122638364,12.7267835607421,10
