cycle,cycle_elapsed_seconds,gradient_norm_max,gradient_norm_mean,learning_rate,optimizer_steps_completed,train_contralateral_high_frequency_mae_db,train_erb_mae_db,train_full_sphere_lsd_db,train_high_frequency_first_difference_mae_db_per_bin,train_high_frequency_second_difference_mae_db_per_bin2,train_ild_mae_db,train_ild_spectral_proxy_mae_db,train_lsd_loss_db,train_notch_depth_mae_db,train_residual_mae_db,train_residual_smooth_l1,train_spectral_band_ild_mae_db,train_spectral_band_ild_smooth_l1_db,train_total,validation_contralateral_high_frequency_mae_db,validation_erb_mae_db,validation_full_sphere_lsd_db,validation_high_frequency_first_difference_mae_db_per_bin,validation_high_frequency_second_difference_mae_db_per_bin2,validation_ild_mae_db,validation_ild_spectral_proxy_mae_db,validation_lsd_loss_db,validation_notch_depth_mae_db,validation_residual_mae_db,validation_residual_smooth_l1,validation_spectral_band_ild_mae_db,validation_spectral_band_ild_smooth_l1_db,validation_total,validation_weighted_residual_mae_db
60,3.9641718999999966,15.2930269241333,7.460872000914353,6.850690776699573e-05,7800,3.868331791804387,1.0797150382628808,0.0,0.7519470356977903,0.7025842402990048,0.4462550965639261,0.7508651304703492,0.0,0.6686076581478119,2.706518263083238,0.2641185399431449,1.5970270386108985,1.3760308527029477,0.8122122260240409,4.009149193763733,1.0987153270027854,3.9430728392167524,0.7508181089704687,0.7019080330025066,0.716659581119364,0.7604333758354187,3.9430728392167524,0.6680679456754164,2.7775627699765293,0.27692991427399893,1.713957055048509,1.4924941604787654,0.8778047317808325,2.7775628441883065
61,3.9129084999999577,19.154783248901367,8.174599306400006,6.749627515511442e-05,7930,3.9287953816927397,1.0882630875477424,0.0,0.75806086567732,0.7131554472904938,0.4664825679017947,0.7483392417430877,0.0,0.6680219492086997,2.740862216399266,0.27059322125636615,1.6182366536213801,1.3972345375097714,0.8270274570355048,,,,,,,,,,,,,,,
62,3.860674299999914,14.706633567810059,7.5590124423687275,6.647742972233703e-05,8060,3.8314976618840144,1.079401697562291,0.0,0.7379231948118944,0.6829887550610763,0.43928393652805914,0.7178939046768041,0.0,0.6684073865413666,2.709574950658358,0.26506236241413994,1.615570435157189,1.3944842054293707,0.8090049202625568,,,,,,,,,,,,,,,
63,3.8385534000000234,14.462818145751953,8.215859185732327,6.545084971874738e-05,8190,3.8204556593528163,1.0669982575453245,0.0,0.7464381878192609,0.6978860733600764,0.43737460134121087,0.7115386204077647,0.0,0.6621959736713996,2.6957430188472453,0.26345152064011645,1.5825314833567692,1.3617521272255824,0.8048052434737866,,,,,,,,,,,,,,,
64,3.7969545999999355,16.676671981811523,8.078588401354276,6.441701702506754e-05,8320,3.9450912622305063,1.0842853248119355,0.0,0.7692359222815587,0.7221004999600924,0.4308691546320915,0.7168080086891467,0.0,0.6787840572687296,2.7517718883661124,0.27275411578325126,1.5891758606984066,1.3688087096581092,0.8251557061305412,,,,,,,,,,,,,,,
65,3.843287200000077,17.799318313598633,8.257367031390851,6.337641692646106e-05,8450,3.871972493024973,1.0836415176208203,0.0,0.7523313272457857,0.704850082214062,0.4454232210150132,0.7412184671713755,0.0,0.6660740309036695,2.7156856701924252,0.26582696609772166,1.6038826309717618,1.3826252121191758,0.8145839934165661,3.974291671406139,1.1048936654220929,3.9388100017200816,0.7506056427955627,0.7053503881801259,0.7311740436337211,0.7689608172936873,3.9388100017200816,0.663266507062045,2.7721545804630625,0.27595351975072513,1.7056542472405867,1.4840995398434726,0.877936761487614,2.7721546606599796
66,3.8761732000000393,14.18796157836914,7.889393989856426,6.232953788473811e-05,8580,3.763086405167213,1.06862161388764,0.0,0.7357792897866322,0.6862216733969175,0.427046999335289,0.7274216761955848,0.0,0.6551180293926826,2.6835103236711944,0.2610838342171449,1.6061298810518705,1.38489249256941,0.7970574314777668,,,,,,,,,,,,,,,
67,3.8231532000000925,14.671496391296387,7.98424596786499,6.127687130906972e-05,8710,3.822591238755446,1.0956443392313444,0.0,0.7640105967338269,0.7192562382954818,0.39888991919847633,0.7137803996984775,0.0,0.6699148842921624,2.7292503430293156,0.26875385034542815,1.5722728179051326,1.3517081948427054,0.8106336735762083,,,,,,,,,,,,,,,
68,3.9484247000000323,15.17223834991455,7.934927217776959,6.021891132531825e-05,8840,3.8902836157725407,1.0744700555617992,0.0,0.7527867078781127,0.7053766023654204,0.4191529278571789,0.7174574088591795,0.0,0.6696218486015614,2.71524380170382,0.2665894448757172,1.598688330100133,1.3782710112058199,0.811049956541795,,,,,,,,,,,,,,,
69,3.888686600000028,15.98393440246582,7.878397457416241,5.9156154544092815e-05,8970,3.789284172424903,1.066613161105376,0.0,0.7475773742565742,0.7008882286456916,0.39132285714149473,0.6837778948820554,0.0,0.6643547518895223,2.6898466532046976,0.2624455714455018,1.5795918052013105,1.3591137179961572,0.7953206974726457,,,,,,,,,,,,,,,
70,3.9083376000000953,15.683963775634766,8.222967606324415,5.808909982763825e-05,9100,3.787136255777799,1.0554900696644416,0.0,0.7419735392698875,0.6911754990999516,0.4135006565314073,0.6866990747360083,0.0,0.6659715661635766,2.677117454088651,0.2603450650205979,1.5809321907850413,1.3598974319604726,0.7943310788044563,3.9730551676316694,1.091204364191402,3.912875370545821,0.7480897036465731,0.7024304920976813,0.7209370515563271,0.757440594109622,3.912875370545821,0.6627359200607646,2.7585411722009834,0.27353705262595956,1.6972730105573481,1.475442815910686,0.8714392022653059,2.758541273054375
71,3.9817894999999908,15.501567840576172,7.837721853989821,5.701824805566722e-05,9230,3.8096209947879496,1.0606567277358128,0.0,0.7444744678644034,0.6939289427720583,0.37773011991610894,0.6694434670301584,0.0,0.6600976304366039,2.6909692470843973,0.2632308703202468,1.5605626225471496,1.3405871272087098,0.7933185632412251,,,,,,,,,,,,,,,
72,3.9680305000000544,17.906715393066406,8.321186516835139,5.5944101890245324e-05,9360,3.7942530448620135,1.063484158882728,0.0,0.7476498085718889,0.6979630850828611,0.3943224406013122,0.7081490463935411,0.0,0.6643198173779707,2.6832894820433397,0.2613117875961157,1.5500826533024128,1.3295211232625521,0.7940300033642695,,,,,,,,,,,,,,,
