ild_weight,run_name,wandb_run_id,initial_residual_mae_db,validation_residual_mae_db,residual_improvement_percent,initial_erb_mae_db,validation_erb_mae_db,erb_improvement_percent,initial_high_frequency_mae_db,validation_high_frequency_mae_db,high_frequency_improvement_percent,initial_strict_horizontal_ild_mae_db,validation_strict_horizontal_ild_mae_db,strict_horizontal_ild_improvement_percent,best_epoch,elapsed_seconds,passed_constraints,selected
0.5,sonicom_mlp_cnn_q26_v31_horizontal_pilot_ild050,afeg8q7p,2.730590719729662,2.6986097656190395,1.17121,1.136960994452238,1.1128112580627203,2.12406,3.6453910917043686,3.6042403131723404,1.12884,0.6434119860641658,0.6408199807628989,0.40285,3,67.0776697,true,false
1.0,sonicom_mlp_cnn_q26_v31_horizontal_pilot_ild100,z1cv1bl0,2.730590719729662,2.7020941227674484,1.04361,1.136960994452238,1.1171734677627683,1.74039,3.6453910917043686,3.605604153126478,1.09143,0.6434119860641658,0.6390534732490778,0.67741,3,68.7049762,true,false
2.0,sonicom_mlp_cnn_q26_v31_horizontal_pilot_ild200,3qp5jdhc,2.730590719729662,2.7067564129829407,0.87286,1.136960994452238,1.1230482701212168,1.22368,3.6453910917043686,3.608691416680813,1.00674,0.6434119860641658,0.6374349924735725,0.92895,3,68.0319964,true,true
