SubjectID,Method,Ear,Region,DirectionCount,MeanERBError_dB
59,MCA+ResidualMLP,Left,Frontal25deg,42,0.510389323477266
59,MCA+ResidualMLP,Left,Contralateral25deg,42,1.51100861435269
59,MCA+ResidualMLP,Right,FullSphere,900,0.668640378805026
59,MCA+ResidualMLP,Right,Frontal25deg,42,0.484043824693997
59,MCA+ResidualMLP,Right,Contralateral25deg,41,1.48746115880025
70,MCA,Left,FullSphere,900,0.804455136700549
70,MCA,Left,Frontal25deg,42,0.518901357985803
70,MCA,Left,Contralateral25deg,42,1.96207208271967
70,MCA,Right,FullSphere,900,0.793308385299278
70,MCA,Right,Frontal25deg,42,0.463177308045202
70,MCA,Right,Contralateral25deg,41,1.68983788578888
70,MCA+ResidualMLP,Left,FullSphere,900,0.677542743821782
70,MCA+ResidualMLP,Left,Frontal25deg,42,0.439402716433928
70,MCA+ResidualMLP,Left,Contralateral25deg,42,1.58215609916548
70,MCA+ResidualMLP,Right,FullSphere,900,0.674753448008339
70,MCA+ResidualMLP,Right,Frontal25deg,42,0.353778056780927
70,MCA+ResidualMLP,Right,Contralateral25deg,41,1.47823826557096
73,MCA,Left,FullSphere,900,0.803398789385018
73,MCA,Left,Frontal25deg,42,0.6203426085093
73,MCA,Left,Contralateral25deg,42,1.93976183695475
73,MCA,Right,FullSphere,900,0.787645224895047
73,MCA,Right,Frontal25deg,42,0.512388783859443
73,MCA,Right,Contralateral25deg,41,1.94226463346428
73,MCA+ResidualMLP,Left,FullSphere,900,0.720420381202601
73,MCA+ResidualMLP,Left,Frontal25deg,42,0.519637696538259
73,MCA+ResidualMLP,Left,Contralateral25deg,42,1.76906248909001
73,MCA+ResidualMLP,Right,FullSphere,900,0.702933303028114
73,MCA+ResidualMLP,Right,Frontal25deg,42,0.498647541266308
73,MCA+ResidualMLP,Right,Contralateral25deg,41,1.75062732480402
81,MCA,Left,FullSphere,900,0.851837961354286
81,MCA,Left,Frontal25deg,42,0.642494308980024
81,MCA,Left,Contralateral25deg,42,2.13171943450881
81,MCA,Right,FullSphere,900,0.772760272995591
81,MCA,Right,Frontal25deg,42,0.540718480458414
81,MCA,Right,Contralateral25deg,41,1.94644035085566
81,MCA+ResidualMLP,Left,FullSphere,900,0.756442308538991
81,MCA+ResidualMLP,Left,Frontal25deg,42,0.561591240019494
81,MCA+ResidualMLP,Left,Contralateral25deg,42,1.72863195641598
81,MCA+ResidualMLP,Right,FullSphere,900,0.723231163134644
81,MCA+ResidualMLP,Right,Frontal25deg,42,0.471607419427659
81,MCA+ResidualMLP,Right,Contralateral25deg,41,1.62272062450104
