sparsity_level,direction_count,within_level_index_zero_based,source_index_zero_based,azimuth_deg,elevation_deg,colatitude_deg,selection_policy
Q26,26,11,347,105.0000000000,10.0000000000,80.0000000000,frozen_sonicom_q26_v1
Q26,26,12,356,280.0000000000,-10.0000000000,100.0000000000,frozen_sonicom_q26_v1
Q26,26,13,388,95.0000000000,45.0000000000,45.0000000000,frozen_sonicom_q26_v1
Q26,26,14,427,265.0000000000,45.0000000000,45.0000000000,frozen_sonicom_q26_v1
Q26,26,15,459,80.0000000000,-10.0000000000,100.0000000000,frozen_sonicom_q26_v1
Q26,26,16,468,255.0000000000,10.0000000000,80.0000000000,frozen_sonicom_q26_v1
Q26,26,17,528,65.0000000000,-45.0000000000,135.0000000000,frozen_sonicom_q26_v1
Q26,26,18,531,240.0000000000,-20.0000000000,110.0000000000,frozen_sonicom_q26_v1
Q26,26,19,544,60.0000000000,20.0000000000,70.0000000000,frozen_sonicom_q26_v1
Q26,26,20,646,215.0000000000,30.0000000000,60.0000000000,frozen_sonicom_q26_v1
Q26,26,21,658,35.0000000000,-20.0000000000,110.0000000000,frozen_sonicom_q26_v1
Q26,26,22,661,210.0000000000,-45.0000000000,135.0000000000,frozen_sonicom_q26_v1
Q26,26,23,674,30.0000000000,45.0000000000,45.0000000000,frozen_sonicom_q26_v1
Q26,26,24,708,200.0000000000,-10.0000000000,100.0000000000,frozen_sonicom_q26_v1
Q26,26,25,721,20.0000000000,10.0000000000,80.0000000000,frozen_sonicom_q26_v1
Q50,50,0,1,0.0000000000,-30.0000000000,120.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,1,11,0.0000000000,90.0000000000,0.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,2,70,345.0000000000,-10.0000000000,100.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,3,82,165.0000000000,20.0000000000,70.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,4,94,340.0000000000,10.0000000000,80.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,5,107,160.0000000000,-10.0000000000,100.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,6,111,335.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,7,141,330.0000000000,45.0000000000,45.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,8,154,150.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,9,157,325.0000000000,-20.0000000000,110.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,10,167,145.0000000000,60.0000000000,30.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,11,169,145.0000000000,30.0000000000,60.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,12,216,135.0000000000,0.0000000000,90.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,13,225,310.0000000000,0.0000000000,90.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,14,267,300.0000000000,-20.0000000000,110.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,15,271,300.0000000000,20.0000000000,70.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,16,274,300.0000000000,60.0000000000,30.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,17,284,120.0000000000,-20.0000000000,110.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,18,287,295.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,19,301,115.0000000000,30.0000000000,60.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,20,347,105.0000000000,10.0000000000,80.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,21,352,105.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,22,356,280.0000000000,-10.0000000000,100.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,23,376,275.0000000000,-30.0000000000,120.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,24,381,275.0000000000,20.0000000000,70.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,25,388,95.0000000000,45.0000000000,45.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,26,427,265.0000000000,45.0000000000,45.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,27,434,85.0000000000,20.0000000000,70.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,28,439,85.0000000000,-30.0000000000,120.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,29,459,80.0000000000,-10.0000000000,100.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,30,463,255.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,31,468,255.0000000000,10.0000000000,80.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,32,514,245.0000000000,30.0000000000,60.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,33,528,65.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,34,531,240.0000000000,-20.0000000000,110.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,35,541,60.0000000000,60.0000000000,30.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,36,544,60.0000000000,20.0000000000,70.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,37,548,60.0000000000,-20.0000000000,110.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,38,590,50.0000000000,0.0000000000,90.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,39,599,225.0000000000,0.0000000000,90.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,40,646,215.0000000000,30.0000000000,60.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,41,648,215.0000000000,60.0000000000,30.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,42,658,35.0000000000,-20.0000000000,110.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,43,661,210.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,44,674,30.0000000000,45.0000000000,45.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,45,704,25.0000000000,-45.0000000000,135.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,46,708,200.0000000000,-10.0000000000,100.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,47,721,20.0000000000,10.0000000000,80.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,48,733,195.0000000000,20.0000000000,70.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
Q50,50,49,745,15.0000000000,-10.0000000000,100.0000000000,greedy_lateral_pair_maximin_extension_from_frozen_q26
