epoch,train_total_loss,train_residual_mae_db,train_erb_mae_db,train_contralateral_high_frequency_mae_db,train_ild_mae_db,validation_total_loss,validation_residual_mae_db,validation_erb_mae_db,validation_contralateral_high_frequency_mae_db,validation_ild_mae_db,learning_rate,elapsed_seconds
1,0.5902747175097466,2.119064244031906,0.7393281673192977,3.204136995315552,0.691121786236763,0.6046084466700753,2.155300927658876,0.7445663344115019,3.309234398106734,0.7174685963739952,0.0003,33.707269399999994
2,0.5863502093553543,2.107699496984482,0.7290422947406768,3.1942088565826414,0.6802616727352142,0.6021946491673589,2.1538788825273514,0.7224396963914236,3.308507688343525,0.6782961900656422,0.00029265847744427303,32.2830576
3,0.5851019045114517,2.1033798427581787,0.7223149667978287,3.2071380195617674,0.6760009536147118,0.6059963125735521,2.1652724097172418,0.7304761918882529,3.329254870613416,0.6856862384205064,0.0002713525491562421,32.16397060000001
4,0.5827028251886368,2.0969741332530973,0.7135306426286697,3.2081301231384276,0.6657525586485863,0.6129300439109405,2.189777884632349,0.7333327624946833,3.3441274811824164,0.6943116961047053,0.00023816778784387096,32.57053769999999
5,0.5793505998849868,2.0963028836250306,0.7095316668748856,3.1725484886169433,0.6564665887355804,0.6008162039021651,2.158822651952505,0.7148465222368637,3.3116891806324324,0.6522201684614023,0.0001963525491562421,32.55873500000001
6,0.5780739989876748,2.0882955956459046,0.6996786814928054,3.195645082950592,0.6486452665925025,0.6096005967507759,2.170169143627087,0.7224608870844046,3.3704581136504808,0.6824761023744941,0.00015,34.17881689999999
7,0.5695867409110069,2.0621899616718293,0.6886035729646682,3.162157461643219,0.6388508509397507,0.5895183390627304,2.12297269081076,0.6929380744695663,3.2707503785689673,0.655782296632727,0.0001036474508437579,37.610444400000006
8,0.5716121062636376,2.0683782246112825,0.6865081453323364,3.1594287395477294,0.6527722712755203,0.5912199063847462,2.1245331478615603,0.700807253519694,3.2848887940247855,0.6589506377155582,6.183221215612905e-05,32.03433900000002
9,0.5677440816164017,2.059634321928024,0.686770786523819,3.157472993850708,0.6288400440812111,0.5846180074537793,2.1167957422633967,0.6933488479504982,3.2668003464738526,0.6086451870699724,2.86474508437579e-05,31.962627500000053
10,0.5674305523633957,2.0599789600372316,0.6818629720211029,3.1554455218315125,0.6227067351937294,0.6001514658952752,2.1606118033329644,0.7061174251139164,3.3171559497714043,0.6464815586805344,7.341522555726971e-06,32.0769507
