method,validation_total_loss,full_sphere_erb_db,contralateral_25_erb_db,contralateral_high_frequency_db,horizontal_ild_mae_db
v32_pretrained_cnn_epoch39,0.6611154843121767,0.8728824545096452,1.3642041177513955,3.608567152291272,0.5961406543553209
v32_cnn_reinit_epoch36,0.673068397367994,0.8846411856612815,1.384283465671023,3.6559123237691193,0.602080291608707
v32_cnn_reinit_continuation_epoch8,0.6726343796278039,0.8861318036405078,1.3877621859740654,3.6539448986114773,0.601171762192473
v321_cnn_reinit_joint_epoch8,0.672247422238191,0.8856639397432968,1.3885530653863298,3.6527974470883207,0.6000913801665341
v32_scratch_joint_epoch60,0.6465397269154588,0.837668052768262,1.30210522432677,3.54294656040211,0.598536222437555
v35_output_fusion_previous30_scratch70,0.6412233424683412,0.831842757236444,1.2919921106824,3.54025806786848,0.581336775406924
