SubjectLabel,SubjectID,Seed,Variant,Metric,Value
P0073,73,20260822,FiLM-SIREN E130,FullSphereERB,0.732349410290419
P0073,73,20260822,FiLM-SIREN E130,Contralateral25ERB,1.02167530374093
P0073,73,20260822,FSC E190,FullSphereERB,0.717729569063382
P0073,73,20260822,FSC E190,Contralateral25ERB,1.00735356680163
P0073,73,20260823,FiLM-SIREN E130,FullSphereERB,0.717494058691518
P0073,73,20260823,FiLM-SIREN E130,Contralateral25ERB,1.01548452618885
P0073,73,20260823,FSC E190,FullSphereERB,0.706267679502001
P0073,73,20260823,FSC E190,Contralateral25ERB,0.998298898028896
P0113,113,20260821,FiLM-SIREN E130,FullSphereERB,0.843265640797841
P0113,113,20260821,FiLM-SIREN E130,Contralateral25ERB,1.12149295716314
P0113,113,20260821,FSC E190,FullSphereERB,0.823169810825722
P0113,113,20260821,FSC E190,Contralateral25ERB,1.099345237781
P0113,113,20260822,FiLM-SIREN E130,FullSphereERB,0.847038114638677
P0113,113,20260822,FiLM-SIREN E130,Contralateral25ERB,1.12382211342532
P0113,113,20260822,FSC E190,FullSphereERB,0.831863879205932
P0113,113,20260822,FSC E190,Contralateral25ERB,1.09233615288724
P0113,113,20260823,FiLM-SIREN E130,FullSphereERB,0.830303586792902
P0113,113,20260823,FiLM-SIREN E130,Contralateral25ERB,1.13736920540624
P0113,113,20260823,FSC E190,FullSphereERB,0.821730704127967
P0113,113,20260823,FSC E190,Contralateral25ERB,1.13260881614195
P0116,116,20260821,FiLM-SIREN E130,FullSphereERB,0.827863618102716
P0116,116,20260821,FiLM-SIREN E130,Contralateral25ERB,1.1626186423329
P0116,116,20260821,FSC E190,FullSphereERB,0.792446663369911
P0116,116,20260821,FSC E190,Contralateral25ERB,1.12429986486135
P0116,116,20260822,FiLM-SIREN E130,FullSphereERB,0.821766370201073
P0116,116,20260822,FiLM-SIREN E130,Contralateral25ERB,1.12912334884413
P0116,116,20260822,FSC E190,FullSphereERB,0.790455417049559
P0116,116,20260822,FSC E190,Contralateral25ERB,1.09793880351162
P0116,116,20260823,FiLM-SIREN E130,FullSphereERB,0.830334558927865
P0116,116,20260823,FiLM-SIREN E130,Contralateral25ERB,1.14733720378841
P0116,116,20260823,FSC E190,FullSphereERB,0.800328277323417
P0116,116,20260823,FSC E190,Contralateral25ERB,1.1252132457296
P0125,125,20260821,FiLM-SIREN E130,FullSphereERB,0.733164906672608
P0125,125,20260821,FiLM-SIREN E130,Contralateral25ERB,1.1518239873417
P0125,125,20260821,FSC E190,FullSphereERB,0.712521236020646
P0125,125,20260821,FSC E190,Contralateral25ERB,1.12695106476259
P0125,125,20260822,FiLM-SIREN E130,FullSphereERB,0.734358930694318
P0125,125,20260822,FiLM-SIREN E130,Contralateral25ERB,1.18810439594637
P0125,125,20260822,FSC E190,FullSphereERB,0.71904839073082
P0125,125,20260822,FSC E190,Contralateral25ERB,1.17378618903063
P0125,125,20260823,FiLM-SIREN E130,FullSphereERB,0.737348950730473
P0125,125,20260823,FiLM-SIREN E130,Contralateral25ERB,1.17837290022954
P0125,125,20260823,FSC E190,FullSphereERB,0.719526927055717
P0125,125,20260823,FSC E190,Contralateral25ERB,1.15112817922795
P0149,149,20260821,FiLM-SIREN E130,FullSphereERB,0.939557226034552
P0149,149,20260821,FiLM-SIREN E130,Contralateral25ERB,1.51309732242529
P0149,149,20260821,FSC E190,FullSphereERB,0.902896828967891
P0149,149,20260821,FSC E190,Contralateral25ERB,1.49412817838338
P0149,149,20260822,FiLM-SIREN E130,FullSphereERB,0.875243352357111
P0149,149,20260822,FiLM-SIREN E130,Contralateral25ERB,1.43501057125374
P0149,149,20260822,FSC E190,FullSphereERB,0.850293797946018
