Seed,SubjectLabel,SubjectID,Variant,Metric,Unit,Value
20260822,P0012,12,FiLM-SIREN E130,FullSphereERB,dB,0.822154065123883
20260822,P0012,12,FiLM-SIREN E130,Contralateral25ERB,dB,1.11773831522109
20260822,P0012,12,FiLM-SIREN E130,ERBBandILDMean,dB,1.6503670215606689
20260822,P0012,12,FiLM-SIREN E130,ITDWeightedMAE,us,14.238676371162942
20260822,P0012,12,FiLM-SIREN E130,FullSphereLSD,dB,4.1329874825455821
20260822,P0012,12,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.51015162467956543
20260822,P0012,12,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.32066097855567932
20260822,P0012,12,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.56540727615356445
20260822,P0012,12,FSC E190,FullSphereERB,dB,0.79542699744026901
20260822,P0012,12,FSC E190,Contralateral25ERB,dB,1.0833360897223001
20260822,P0012,12,FSC E190,ERBBandILDMean,dB,1.5945878028869629
20260822,P0012,12,FSC E190,ITDWeightedMAE,us,14.23237991001357
20260822,P0012,12,FSC E190,FullSphereLSD,dB,3.8999275962729349
20260822,P0012,12,FSC E190,HFFirstDifferenceMAE,dB/bin,0.43190595507621765
20260822,P0012,12,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.25186231732368469
20260822,P0012,12,FSC E190,MultiScaleNotchDepthMAE,dB,0.49687448143959045
20260823,P0012,12,FiLM-SIREN E130,FullSphereERB,dB,0.81356641808326502
20260823,P0012,12,FiLM-SIREN E130,Contralateral25ERB,dB,1.08016824850794
20260823,P0012,12,FiLM-SIREN E130,ERBBandILDMean,dB,1.6584217548370361
20260823,P0012,12,FiLM-SIREN E130,ITDWeightedMAE,us,14.280555756021002
20260823,P0012,12,FiLM-SIREN E130,FullSphereLSD,dB,4.1211624029539298
20260823,P0012,12,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.5124201774597168
20260823,P0012,12,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.32916164398193359
20260823,P0012,12,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.56403321027755737
20260823,P0012,12,FSC E190,FullSphereERB,dB,0.80153206040079805
20260823,P0012,12,FSC E190,Contralateral25ERB,dB,1.0524463973112701
20260823,P0012,12,FSC E190,ERBBandILDMean,dB,1.6135261058807373
20260823,P0012,12,FSC E190,ITDWeightedMAE,us,14.237843640065529
20260823,P0012,12,FSC E190,FullSphereLSD,dB,3.8758719455923019
20260823,P0012,12,FSC E190,HFFirstDifferenceMAE,dB/bin,0.43256348371505737
20260823,P0012,12,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.2569335401058197
20260823,P0012,12,FSC E190,MultiScaleNotchDepthMAE,dB,0.49626076221466064
20260821,P0013,13,FiLM-SIREN E130,FullSphereERB,dB,0.79774092948180697
20260821,P0013,13,FiLM-SIREN E130,Contralateral25ERB,dB,1.13633687912099
20260821,P0013,13,FiLM-SIREN E130,ERBBandILDMean,dB,1.62238609790802
20260821,P0013,13,FiLM-SIREN E130,ITDWeightedMAE,us,12.716983096683329
20260821,P0013,13,FiLM-SIREN E130,FullSphereLSD,dB,3.8148155715657373
20260821,P0013,13,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.46415320038795471
20260821,P0013,13,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.28158634901046753
20260821,P0013,13,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.54808324575424194
20260821,P0013,13,FSC E190,FullSphereERB,dB,0.76921481928054902
20260821,P0013,13,FSC E190,Contralateral25ERB,dB,1.12878695234696
20260821,P0013,13,FSC E190,ERBBandILDMean,dB,1.5383652448654175
20260821,P0013,13,FSC E190,ITDWeightedMAE,us,12.700699699611512
20260821,P0013,13,FSC E190,FullSphereLSD,dB,3.5515811669947275
20260821,P0013,13,FSC E190,HFFirstDifferenceMAE,dB/bin,0.38131657242774963
20260821,P0013,13,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.20549203455448151
20260821,P0013,13,FSC E190,MultiScaleNotchDepthMAE,dB,0.47179499268531799
20260822,P0013,13,FiLM-SIREN E130,FullSphereERB,dB,0.79002281708204902
20260822,P0013,13,FiLM-SIREN E130,Contralateral25ERB,dB,1.1222092194889299
20260822,P0013,13,FiLM-SIREN E130,ERBBandILDMean,dB,1.6455980539321899
20260822,P0013,13,FiLM-SIREN E130,ITDWeightedMAE,us,12.715185067799025
20260822,P0013,13,FiLM-SIREN E130,FullSphereLSD,dB,3.783673988072457
20260822,P0013,13,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.46497315168380737
20260822,P0013,13,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.28157874941825867
20260822,P0013,13,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.54818457365036011
20260822,P0013,13,FSC E190,FullSphereERB,dB,0.76109558266483401
20260822,P0013,13,FSC E190,Contralateral25ERB,dB,1.10748551518196
20260822,P0013,13,FSC E190,ERBBandILDMean,dB,1.5366199016571045
20260822,P0013,13,FSC E190,ITDWeightedMAE,us,12.704042114040625
20260822,P0013,13,FSC E190,FullSphereLSD,dB,3.5354941851403936
20260822,P0013,13,FSC E190,HFFirstDifferenceMAE,dB/bin,0.38059929013252258
20260822,P0013,13,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.20456847548484802
20260822,P0013,13,FSC E190,MultiScaleNotchDepthMAE,dB,0.47108516097068787
20260823,P0013,13,FiLM-SIREN E130,FullSphereERB,dB,0.78402977849982003
20260823,P0013,13,FiLM-SIREN E130,Contralateral25ERB,dB,1.1314398828046599
20260823,P0013,13,FiLM-SIREN E130,ERBBandILDMean,dB,1.6143198013305664
20260823,P0013,13,FiLM-SIREN E130,ITDWeightedMAE,us,12.695683506520993
20260823,P0013,13,FiLM-SIREN E130,FullSphereLSD,dB,3.7705372864790174
20260823,P0013,13,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.46332633495330811
20260823,P0013,13,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.28277415037155151
20260823,P0013,13,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.54715901613235474
20260823,P0013,13,FSC E190,FullSphereERB,dB,0.76482166967731502
20260823,P0013,13,FSC E190,Contralateral25ERB,dB,1.1331360506597801
20260823,P0013,13,FSC E190,ERBBandILDMean,dB,1.5361752510070801
20260823,P0013,13,FSC E190,ITDWeightedMAE,us,12.694203030353378
20260823,P0013,13,FSC E190,FullSphereLSD,dB,3.5100365627696406
20260823,P0013,13,FSC E190,HFFirstDifferenceMAE,dB/bin,0.38167610764503479
20260823,P0013,13,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.20839181542396545
20260823,P0013,13,FSC E190,MultiScaleNotchDepthMAE,dB,0.47136679291725159
20260821,P0022,22,FiLM-SIREN E130,FullSphereERB,dB,0.72035106521022596
20260821,P0022,22,FiLM-SIREN E130,Contralateral25ERB,dB,1.0899064665306699
20260821,P0022,22,FiLM-SIREN E130,ERBBandILDMean,dB,1.3604491949081421
20260821,P0022,22,FiLM-SIREN E130,ITDWeightedMAE,us,14.545378627418431
20260821,P0022,22,FiLM-SIREN E130,FullSphereLSD,dB,3.6189800554197316
20260821,P0022,22,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.46868467330932617
20260821,P0022,22,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.28510630130767822
20260821,P0022,22,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.53359407186508179
20260821,P0022,22,FSC E190,FullSphereERB,dB,0.70113244849816303
20260821,P0022,22,FSC E190,Contralateral25ERB,dB,1.0864403351573499
20260821,P0022,22,FSC E190,ERBBandILDMean,dB,1.3089660406112671
20260821,P0022,22,FSC E190,ITDWeightedMAE,us,14.539990934215279
20260821,P0022,22,FSC E190,FullSphereLSD,dB,3.4113568828013445
20260821,P0022,22,FSC E190,HFFirstDifferenceMAE,dB/bin,0.40656310319900513
20260821,P0022,22,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.23007847368717194
