seed,epoch,train_total_loss,train_residual_mae_db,train_erb_mae_db,train_contralateral_high_frequency_mae_db,train_ild_mae_db,train_ild_spectral_proxy_mae_db,train_cnn_delta_mean_absolute_db,validation_total_loss,validation_residual_mae_db,validation_erb_mae_db,validation_contralateral_high_frequency_mae_db,validation_ild_mae_db,validation_ild_spectral_proxy_mae_db,validation_cnn_delta_mean_absolute_db,learning_rate,epoch_seconds,skipped_optimizer_steps
20260809,1,0.6656605089902878,2.526645900011063,1.0140666373968124,3.6027415885925294,0.6362313150763511,0.6285026473402977,0.9769752837836759,0.6789578106254339,2.5773513466119766,1.0428512102613847,3.6298155958453813,0.6372039467096329,0.6211550027752916,0.9818023882362373,0.0001,90.9183589,0
20260809,2,0.6647411237955093,2.530561337471008,1.0123025344610215,3.595177972793579,0.6308712304234505,0.6354083501696587,1.0048902764962253,0.6766338298718134,2.574354795118173,1.0420397923638423,3.625593923032284,0.6273996684079369,0.6204015929251909,1.021166565528154,9.755282581475769e-05,84.4973795,0
20260809,3,0.6610609949827194,2.524068019390106,1.0194382569789886,3.5828218026161194,0.611390014052391,0.6350144807696343,0.9924113933086737,0.6754799311359724,2.572107922285795,1.0370654463768005,3.6309558426340423,0.6198345875988404,0.6135096757983168,1.0333128508832798,9.045084971874737e-05,83.8400622,0
20260809,4,0.6574482659101486,2.5172649731636048,1.008552101612091,3.576396059036255,0.6040090281367302,0.6202554276585579,1.0170822754138713,0.6785950486858686,2.5728282208244004,1.0378211804976065,3.621324524283409,0.6421872712671757,0.6321115472043554,1.0317335532365648,7.938926261462366e-05,83.26492110000004,0
20260809,5,0.6588550275564193,2.520097312927246,1.009239862680435,3.571186324119568,0.6144060399532318,0.6241735513210297,1.0254294623316766,0.6726247674475113,2.5664329392214618,1.0360105435053508,3.613636781771978,0.615857720375061,0.6116848761836687,1.0261041336809007,6.545084971874737e-05,91.45053270000005,0
20260809,6,0.6542465652823448,2.5038585538864138,1.0058271040916442,3.5727939138412474,0.6014076763391495,0.6286007949709892,1.0302109980910634,0.6728445999324322,2.564938669403394,1.0337958664943774,3.612394258379936,0.6198111229265729,0.6189872405181328,1.0449123864220926,4.9999999999999996e-05,83.54162050000002,0
20260809,7,0.6545998716950416,2.51320406126976,1.0111817628145219,3.570904001712799,0.5920605167746544,0.637423844397068,1.0312188983476505,0.6713553617397944,2.562489757935206,1.03569930481414,3.6073429634173713,0.6154701225459576,0.6157196310038368,1.0691031885397273,3.454915028125263e-05,86.9935094,0
20260809,8,0.6554514411687851,2.5101679172515867,1.0090939375162125,3.576297352313995,0.5992572529911995,0.6258371538519859,1.0370647665228085,0.6709102255602678,2.5620974637567997,1.0359301393230755,3.6066955228646598,0.6130080052341024,0.6124942619353533,1.0591709916270557,2.0610737385376345e-05,83.49583360000008,0
20260809,9,0.658070049226284,2.516162192583084,1.0189834676980973,3.5738017616271973,0.6030125132203102,0.6190607151389123,1.0386158395631386,0.670993491075933,2.5614581430951753,1.0328113492578268,3.608042831222216,0.6137760256727537,0.614574723256131,1.0565486145459586,9.549150281252631e-06,83.35818710000001,0
20260809,10,0.6542162539958953,2.5194536712169646,1.01207446205616,3.576827043533325,0.5794316720962525,0.6076718496084214,1.035578438489303,0.6706623043864965,2.5612232014536858,1.034419468914469,3.6058269316951432,0.6132800756022334,0.6142573272809386,1.0561504122539958,2.447174185242323e-06,83.49199759999999,0
