Metric,MetricLabel,Unit,SourceEvidenceTier,SubjectCount,BootstrapReplicates,BootstrapSeed,FSC_minus_MCA_Mean,FSC_minus_MCA_95CI,FSC_minus_MCA_Lower,FSC_minus_MCA_Upper,FSC_minus_FSP_AE_Mean,FSC_minus_FSP_AE_95CI,FSC_minus_FSP_AE_Lower,FSC_minus_FSP_AE_Upper,FSC_minus_RANF_Mean,FSC_minus_RANF_95CI,FSC_minus_RANF_Lower,FSC_minus_RANF_Upper
FullSphereERB,Full-sphere ERB,dB,Primary frozen engineering test,44,10000,20260906,-0.26465416822608306,"[-0.315980852472, -0.178221852159]",-0.3159808524724948,-0.17822185215900846,-0.36694880406417635,"[-0.390613426967, -0.344975692092]",-0.39061342696717566,-0.34497569209205586,-0.2456915369613723,"[-0.298251656962, -0.155968484682]",-0.2982516569619094,-0.15596848468163518
Contralateral25ERB,Contralateral-25 ERB,dB,Primary frozen engineering test,44,10000,20260906,-0.545358634802452,"[-0.595644221896, -0.492765523431]",-0.5956442218963495,-0.49276552343119384,-0.7084757519581125,"[-0.926692910569, -0.585267053022]",-0.9266929105686453,-0.5852670530219164,-0.356926001060428,"[-0.407270343278, -0.309015944231]",-0.40727034327755207,-0.3090159442310332
ERBBandILDMean,ERB-band ILD mean,dB,Secondary test,44,10000,20260906,-0.43561534177173267,"[-0.542204080725, -0.257686349817]",-0.5422040807252579,-0.2576863498172977,-0.07885605638677423,"[-0.104598149454, -0.0521952314133]",-0.1045981494540518,-0.052195231413299396,-0.1154378733851693,"[-0.227560737594, 0.0700239434838]",-0.22756073759360748,0.07002394348382948
ITDWeightedMAE_us,ITD weighted MAE,us,Deferred test,44,10000,20260906,-0.35403325960613397,"[-0.582498750053, 0.0283103014289]",-0.5824987500534866,0.02831030142894098,-0.3126363069465405,"[-1.17241584265, 0.496511994306]",-1.172415842650602,0.49651199430628895,-5.538339586512557,"[-11.5332807839, -2.17050679585]",-11.533280783946807,-2.1705067958547715
LAP2024LSD_dB,LAP 2024 LSD,dB,LAP2024 locked-test descriptive evaluation,44,10000,20260906,-1.1424124401567208,"[-1.23331653655, -1.010313236]",-1.2333165365547831,-1.0103132360007785,0.5437363185566256,"[0.51195555795, 0.575246284379]",0.5119555579504526,0.5752462843794504,0.39078961387225325,"[0.314061844381, 0.522857053854]",0.3140618443808509,0.5228570538535667
