Metric,Unit,EvidenceTier,Q14_Mean,Q26_Mean,Q50_Mean,Q14_SD,Q26_SD,Q50_SD
ERBBandILDMean,dB,Secondary validation supplement,1.5815048949284987,1.4922812743620439,1.3977788632566279,0.18352531846473055,0.14990043337583786,0.13826401873761968
ITDWeightedMAE_us,us,Deferred validation supplement,20.765051809522376,15.378645368086131,15.558095205404982,4.1219882690741034,2.3343427979078588,2.5474711788929354
LAP2024LSD_dB,dB,LAP2024 descriptive validation supplement,3.787313672340908,3.5842897169986725,3.4744761524316234,0.30385766736840719,0.27325212576750479,0.25779067458962479
