Method,MethodLabel,DirectionCount,Endpoint,EvidenceTier,Unit,SubjectCount,Mean,SampleStd,Bootstrap95Lower,Bootstrap95Upper
HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,44,1.5815048949284987,0.18352531846473055,1.5294254535978491,1.6357510230080647
HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,44,1.4922812743620439,0.14990043337583786,1.4482269729402932,1.5358888682993976
HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,44,1.3977788632566279,0.13826401873761968,1.3582441605627535,1.4383110359311104
HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,44,20.765051809522376,4.1219882690741034,19.585583911497384,22.008929713767102
HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,44,15.378645368086131,2.3343427979078588,14.697047380615617,16.04959758745423
HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,44,15.558095205404982,2.5474711788929354,14.820710483786115,16.327628356313898
HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,44,3.787313672340908,0.30385766736840719,3.7020278616649955,3.876593483102472
HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,44,3.5842897169986725,0.27325212576750479,3.5049880501341875,3.6672115753339631
HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,44,3.4744761524316234,0.25779067458962479,3.4006626522431529,3.5501796908075516
