Metric,Unit,EvidenceTier,Q14_Mean,Q14_SD,Q26_Mean,Q26_SD,Q50_Mean,Q50_SD
FullSphereERB,dB,Primary frozen engineering test,0.9084398889000019,0.18261019833974115,0.8008204134870003,0.16138572157077377,0.7519026193507614,0.15136763137034098
Contralateral25ERB,dB,Primary frozen engineering test,1.3382522687323568,0.22943053829143192,1.212324817358274,0.1894573278460507,1.217337560936485,0.19323185489156217
ContralateralHighFrequency,dB,Primary frozen engineering test,3.6617716593686507,0.3403745225331029,3.4920422331470617,0.27613557056513227,3.409274174677066,0.2707431257407983
HorizontalILDMAE,dB,Primary frozen engineering test,0.6427307363951458,0.1825815277270297,0.6232298512872183,0.17730357699439803,0.5488731604232066,0.14402929969098205
ERBBandILDMean,dB,Secondary validation supplement,1.5815048949284987,0.18352531846473055,1.4922812743620439,0.14990043337583786,1.3977788632566279,0.13826401873761968
ITDWeightedMAE_us,us,Deferred validation supplement,20.765051809522376,4.1219882690741034,15.378645368086131,2.3343427979078588,15.558095205404982,2.5474711788929354
LAP2024LSD_dB,dB,LAP2024 descriptive validation supplement,3.787313672340908,0.30385766736840719,3.5842897169986725,0.27325212576750479,3.4744761524316234,0.25779067458962479
