SubjectID,LeftMaxPhaseError_rad,RightMaxPhaseError_rad,LeftMaxMagnitudeIdentityError_dB,RightMaxMagnitudeIdentityError_dB,LeftPredictionMinimum_dB,LeftPredictionMaximum_dB,RightPredictionMinimum_dB,RightPredictionMaximum_dB
8,5.78739907486015e-16,5.77875350992569e-16,7.105427357601e-15,7.105427357601e-15,-10.2069549560547,38.280818939209,-11.7303810119629,42.8828315734863
18,5.78373146192637e-16,5.8096618169459e-16,7.105427357601e-15,7.105427357601e-15,-10.3973836898804,44.2158279418945,-11.1511611938477,39.7407684326172
22,6.07383958902055e-16,6.00397459777855e-16,7.105427357601e-15,7.105427357601e-15,-10.3894491195679,43.0732612609863,-10.7941083908081,46.0566329956055
26,5.84587752323223e-16,5.76636764042334e-16,7.105427357601e-15,7.105427357601e-15,-10.5878114700317,39.4233856201172,-11.6748390197754,39.6455535888672
31,6.2925275897337e-16,6.1716318501238e-16,7.105427357601e-15,7.105427357601e-15,-10.4449901580811,40.9468116760254,-11.1987686157227,42.7558784484863
33,5.72815913970096e-16,5.87336056617003e-16,7.105427357601e-15,7.105427357601e-15,-10.0403308868408,49.4843406677246,-10.9686679840088,42.9780464172363
45,5.80019962820622e-16,5.89285842261971e-16,7.105427357601e-15,7.105427357601e-15,-10.4053182601929,40.0581474304199,-11.6669044494629,41.3276672363281
47,5.92847457415039e-16,5.69671769515576e-16,7.105427357601e-15,7.105427357601e-15,-10.8496503829956,40.9150733947754,-11.2701787948608,39.5186004638672
59,5.71772494541238e-16,5.81080247691596e-16,7.105427357601e-15,7.105427357601e-15,-10.2386932373047,41.8989524841309,-11.5558214187622,48.5004615783691
70,6.03628293956802e-16,5.79279848209583e-16,7.105427357601e-15,7.105427357601e-15,-10.8179121017456,40.3437881469727,-11.8890705108643,51.4203605651855
73,5.57024186884692e-16,5.7097801487191e-16,7.105427357601e-15,7.105427357601e-15,-11.2622442245483,38.8521041870117,-12.3016653060913,41.2324562072754
81,5.93217630311839e-16,5.84188029646888e-16,7.105427357601e-15,7.105427357601e-15,-9.11199283599854,50.9125518798828,-10.5481386184692,48.6274147033691
