"Metric","MCAMean_dB","V1Mean_dB","V2Mean_dB","V1vsMCAImprovement_percent","V2vsMCAImprovement_percent","V2vsV1Improvement_percent","V1ImprovedSubjectCount","V2ImprovedSubjectCount"
"FullSphereERB","0.802740883332621","0.683797034326625","0.611502781187324","14.8172158009686","23.8231422014239","10.5724724604127","12","12"
"Contralateral25ERB","1.86028561012625","1.55824486010612","1.34006758704431","16.2362568616349","27.9644168750322","14.0014755477488","12","12"
"ContralateralHighFrequency","4.25833560576708","3.75570863949877","3.72037800732374","11.8033666859794","12.6330484078047","0.940718132483923","12","12"
"ILDMAE","0.885424994465712","0.772738871827348","0.64672244748036","12.7267835607421","26.9590929189198","16.3077630673592","10","12"
