SubjectID,Method,DirectionCount,MeanAbsoluteILDError_dB,RMSEILDError_dB,MaximumAbsoluteILDError_dB
8,MCA,360,0.8591031226149,1.05137459383311,2.28326449478528
8,MCA+ResidualMLP,360,0.578894314403144,0.853338446301494,2.98187495986955
18,MCA,360,0.83924850586393,1.01545444560495,3.41666292215985
18,MCA+ResidualMLP,360,0.459023975468887,0.613115441352115,2.6557209782939
22,MCA,360,0.654774390507663,0.892854878709864,1.96992940686959
22,MCA+ResidualMLP,360,0.397085217426695,0.556185677212302,1.54746753116445
26,MCA,360,0.80608059215375,1.0372645093841,3.33895003702608
26,MCA+ResidualMLP,360,0.468710352624381,0.581133942001489,2.18816848867468
31,MCA,360,0.722604334274497,0.855524769482751,2.52944386986538
31,MCA+ResidualMLP,360,0.63399611204947,0.773222018909882,2.51092731404154
33,MCA,360,0.777662884751815,0.967638497658521,2.84899116660305
33,MCA+ResidualMLP,360,0.664125377264556,0.850899069984671,2.00208649614444
45,MCA,360,0.810228386301589,0.991344940015202,2.6139594724102
45,MCA+ResidualMLP,360,0.491670863852456,0.666202698285611,2.19633601003947
47,MCA,360,1.20988315234923,1.54632010500258,3.81561211238414
47,MCA+ResidualMLP,360,0.887195633676892,1.13552017533354,2.81176288254121
59,MCA,360,0.838773930391219,1.04793947481419,2.84298111720142
59,MCA+ResidualMLP,360,0.625352114083938,0.72045410705925,1.70801019976289
70,MCA,360,0.8992834579849,1.05853963984603,2.44805547979104
70,MCA+ResidualMLP,360,0.549053123323486,0.730268261839551,2.38540099793794
73,MCA,360,0.810339936584063,0.965697321522262,2.36259885909298
73,MCA+ResidualMLP,360,0.615771996391176,0.722688671576929,1.60834174292726
81,MCA,360,1.397117239811,1.7489282692148,4.10131052299667
81,MCA+ResidualMLP,360,1.38979028919924,1.7494561295256,4.78738771317683
