seed,run_name,best_cycle,weighted_mae_db,weighted_rmse_db,median_mae_db,std_subject_mae_db,mca_zero_residual_mae_db,decision,condition_inputs_read,test_subjects_read,git_commit,git_dirty
20260821,sonicom_shared_siren_b_unconditional_seed20260821,100,3.1458021881357725,4.792636552157983,3.134385607084435,0.177645829663385,3.3222888828876402,RETEST,0,0,8a55699571f642040c7b509d4ee958d3793bea89,False
20260822,sonicom_shared_siren_b_unconditional_seed20260822,95,3.144506582495127,4.790448123856419,3.1372720894205393,0.17931533127263713,3.3222888828876402,KEEP,0,0,8a55699571f642040c7b509d4ee958d3793bea89,False
20260823,sonicom_shared_siren_b_unconditional_seed20260823,90,3.151574130081461,4.797172750034195,3.149716585064226,0.17876661898964685,3.3222888828876402,KEEP,0,0,8a55699571f642040c7b509d4ee958d3793bea89,False
