Metric,Quantity,Rank,Method,MethodLabel,Value_dB
ContralateralHemisphereHighFrequency,Q6Endpoint,4,SUpDEqNN,SUpDEq + Natural Neighbor,6.065236162214328
ContralateralHemisphereHighFrequency,Q6Endpoint,5,SUpDEqBary,SUpDEq + Barycentric,6.072429315198946
ContralateralHemisphereHighFrequency,Q6Endpoint,6,SUpDEqSH,SUpDEq + SH,6.142257691222169
ContralateralHemisphereHighFrequency,Q6Endpoint,7,SHOnly,SH only,6.691253196834944
ContralateralHemisphereHighFrequency,Q6Endpoint,8,MCA,MCA,6.768999904500358
ContralateralHemisphereHighFrequency,Q14Endpoint,1,RANF,RANF,3.6699832322893546
ContralateralHemisphereHighFrequency,Q14Endpoint,2,FSPAE,FSP-AE,4.037511793212799
ContralateralHemisphereHighFrequency,Q14Endpoint,3,MCARv32,MCAR v3.2,4.292772446100411
ContralateralHemisphereHighFrequency,Q14Endpoint,4,MCA,MCA,5.246524726005067
ContralateralHemisphereHighFrequency,Q14Endpoint,5,SUpDEqBary,SUpDEq + Barycentric,5.737630973587956
ContralateralHemisphereHighFrequency,Q14Endpoint,6,SUpDEqNN,SUpDEq + Natural Neighbor,5.827727707314664
ContralateralHemisphereHighFrequency,Q14Endpoint,7,SUpDEqSH,SUpDEq + SH,6.320481650968542
ContralateralHemisphereHighFrequency,Q14Endpoint,8,SHOnly,SH only,10.158218047540334
ContralateralHemisphereHighFrequency,Q26Endpoint,1,FSPAE,FSP-AE,3.164354686464155
ContralateralHemisphereHighFrequency,Q26Endpoint,2,RANF,RANF,3.4696827666970296
ContralateralHemisphereHighFrequency,Q26Endpoint,3,MCARv32,MCAR v3.2,3.590453633127409
ContralateralHemisphereHighFrequency,Q26Endpoint,4,MCA,MCA,4.698648609497855
ContralateralHemisphereHighFrequency,Q26Endpoint,5,SUpDEqBary,SUpDEq + Barycentric,5.475626460383221
ContralateralHemisphereHighFrequency,Q26Endpoint,6,SUpDEqNN,SUpDEq + Natural Neighbor,5.595395177832452
