Metric,Contrast,MethodA,MethodB,MethodAFamily,MethodBFamily,MeanDifferenceAminusB_dB,CI95Lower_dB,CI95Upper_dB,TwoSidedBootstrapP,BootstrapReplicates,Seed
MeasuredDomainERB,Q6Endpoint,SUpDEqNN,MCARv32,baseline,learned,0.5926108712846161,0.4881858828971467,0.693854637340901,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,SUpDEqNN,MCARv32,baseline,learned,-0.40347819065567925,-0.4542796097020896,-0.35117412629334505,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,SUpDEqNN,FSPAE,baseline,learned,-0.9891257020578987,-1.0861498143124142,-0.8960730444701597,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,SUpDEqNN,FSPAE,baseline,learned,-1.6563977744128886,-1.7211665531952451,-1.5905618328883013,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,SUpDEqNN,RANF,baseline,learned,1.2752904801775167,1.1662777155512438,1.3919594979151129,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,SUpDEqNN,RANF,baseline,learned,0.4867611407661659,0.43641587945948396,0.5412083283768707,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,SUpDEqBary,MCA,baseline,baseline,0.368177575126329,0.25065373378975625,0.49138509678098163,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,SUpDEqBary,MCA,baseline,baseline,-0.3018741329558081,-0.37174397544586396,-0.22225635172105246,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,SUpDEqBary,MCARv32,baseline,learned,0.6983914906300792,0.5766064882838534,0.8192123532185906,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,SUpDEqBary,MCARv32,baseline,learned,-0.1981825710831759,-0.26824848255981654,-0.11475842412947138,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,SUpDEqBary,FSPAE,baseline,learned,-0.8833450827124358,-0.9754322370033931,-0.7943772385255509,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,SUpDEqBary,FSPAE,baseline,learned,-1.451102154840386,-1.514063141960727,-1.3851849010867698,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,SUpDEqBary,RANF,baseline,learned,1.3810710995229798,1.2544192838138095,1.5179669399188072,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,SUpDEqBary,RANF,baseline,learned,0.6920567603386693,0.6274671094953272,0.7709479204687305,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,MCA,MCARv32,baseline,learned,0.3302139155037502,0.3078418142086073,0.3485687422327575,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,MCA,MCARv32,baseline,learned,0.10369156187263219,0.09049158383512133,0.11697465146671714,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,MCA,FSPAE,baseline,learned,-1.2515226578387648,-1.3700333586920808,-1.1652214382979096,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,MCA,FSPAE,baseline,learned,-1.1492280218845776,-1.2240873931052303,-1.0739207031379003,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,MCA,RANF,baseline,learned,1.0128935243966508,0.9698563555279216,1.0547884555608176,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,MCA,RANF,baseline,learned,0.9939308932944771,0.957519052644227,1.0295002179867994,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,MCARv32,FSPAE,learned,learned,-1.581736573342515,-1.6846035146879867,-1.5014644352232962,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,MCARv32,FSPAE,learned,learned,-1.2529195837572098,-1.328867012128245,-1.176870122414899,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,MCARv32,RANF,learned,learned,0.6826796088929006,0.6394406707055253,0.7279499929168335,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,MCARv32,RANF,learned,learned,0.8902393314218451,0.8550288618468838,0.9237428038385824,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6Endpoint,FSPAE,RANF,learned,learned,2.2644161822354154,2.1820694270355525,2.387698828688036,0.00019998000199980003,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,FSPAE,RANF,learned,learned,2.143158915179055,2.082603883718167,2.206198314600944,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SHOnly,SUpDEqSH,baseline,baseline,0.20686133018205438,0.12207481955296724,0.2787139247146596,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SHOnly,SUpDEqSH,baseline,baseline,-1.4003781588797868,-1.5188187638577364,-1.2725248437180585,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SHOnly,SUpDEqNN,baseline,baseline,0.0006751532241630155,-0.11395422365315257,0.09666259530197122,0.9307069293070693,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SHOnly,SUpDEqNN,baseline,baseline,-1.5941163665906275,-1.7084406997938155,-1.4781238828957843,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SHOnly,SUpDEqBary,baseline,baseline,-0.12120119115965129,-0.25109286697402894,-0.013712202635845706,0.0221977802219778,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SHOnly,SUpDEqBary,baseline,baseline,-1.7744053323814888,-1.8881314461219398,-1.6654884160978947,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SHOnly,MCA,baseline,baseline,0.5437373506411971,0.5069814780227129,0.5812961013582774,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SHOnly,MCA,baseline,baseline,-1.5458059415530274,-1.6536318607046872,-1.430681757217622,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SHOnly,MCARv32,baseline,learned,0.9938732133857873,0.9184165137417273,1.059083959927351,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SHOnly,MCARv32,baseline,learned,-1.4914500280423093,-1.5988244213305545,-1.3682268719653696,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SHOnly,FSPAE,baseline,learned,-0.18914161154234516,-0.4535291543983964,-0.016079188932068878,0.0231976802319768,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SHOnly,FSPAE,baseline,learned,-2.1155677849760868,-2.2247433387139752,-1.9941501818695961,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SHOnly,RANF,baseline,learned,1.1116769312335935,1.0463080313596285,1.177173356541163,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SHOnly,RANF,baseline,learned,-1.166298993291692,-1.2727300413416374,-1.05482321961684,0.00019998000199980003,10000,20260812
