Metric,Contrast,MethodA,MethodB,MethodAFamily,MethodBFamily,MeanDifferenceAminusB_dB,CI95Lower_dB,CI95Upper_dB,TwoSidedBootstrapP,BootstrapReplicates,Seed
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,SUpDEqNN,MCARv32,baseline,learned,-1.4285386150986912,-1.613981812763912,-1.2334939689967934,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,SUpDEqNN,FSPAE,baseline,learned,0.6830948204901314,0.4249137992830092,0.8906875223520277,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,SUpDEqNN,FSPAE,baseline,learned,-1.747945670878166,-1.8898634406821857,-1.605829190549397,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,SUpDEqNN,RANF,baseline,learned,2.068373767629579,1.9269524124082607,2.207903283435673,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,SUpDEqNN,RANF,baseline,learned,-0.05733864350584405,-0.19030532354639984,0.08280252880599007,0.41055894410558946,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,SUpDEqBary,MCARv32,baseline,learned,0.5835960825909677,0.4053933377701426,0.7512380394110169,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,SUpDEqBary,MCARv32,baseline,learned,-1.3015767446648447,-1.4853307055291673,-1.1096946633451785,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,SUpDEqBary,FSPAE,baseline,learned,0.6902879734747475,0.43615659495972897,0.8879975078121037,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,SUpDEqBary,FSPAE,baseline,learned,-1.6209838004443198,-1.7498346767912731,-1.4944575780372271,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,SUpDEqBary,RANF,baseline,learned,2.0755669206141945,1.9451954463424845,2.2060770547508306,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,SUpDEqBary,RANF,baseline,learned,0.06962322692800227,-0.052766452924565145,0.19785905292381287,0.2763723627637236,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,MCA,MCARv32,baseline,learned,1.280166671892381,1.2059640647383485,1.350640246424864,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,MCA,MCARv32,baseline,learned,0.1719716955219343,0.11063281363430068,0.23384944374782946,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,MCA,FSPAE,baseline,learned,1.3868585627761605,1.022780338349577,1.6276623763093974,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,MCA,FSPAE,baseline,learned,-0.14743536025754048,-0.30907815680725037,0.004048542530989166,0.05599440055994401,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,MCA,RANF,baseline,learned,2.772137509915608,2.616632355990125,2.919991475061007,0.00019998000199980003,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,MCA,RANF,baseline,learned,1.5431716671147813,1.3866268416199405,1.6930933678077675,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SHOnly,MCARv32,baseline,learned,0.7587576898875787,0.6264362883180952,0.8899962006183051,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SHOnly,MCARv32,baseline,learned,-2.1320252529699846,-2.3417287417270902,-1.9168648944381124,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SHOnly,FSPAE,baseline,learned,-0.09345558599049458,-0.5495517547167967,0.246805992187022,0.7339266073392661,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SHOnly,FSPAE,baseline,learned,-2.8858681353665983,-3.2021568818859216,-2.5732300298026187,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SHOnly,RANF,baseline,learned,1.2940061109244538,1.1549201069585253,1.4266211879010897,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SHOnly,RANF,baseline,learned,-1.481611550011772,-1.7257454077333423,-1.2366464678015645,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqSH,MCARv32,baseline,learned,0.8578481356736145,0.7397277826168779,0.9716112864499232,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqSH,MCARv32,baseline,learned,-0.49998555368547576,-1.0446773136494978,-0.15148061941060703,0.00039996000399960006,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqSH,FSPAE,baseline,learned,0.005634859795541383,-0.47085122582985556,0.34921971701453863,0.8779122087791221,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqSH,FSPAE,baseline,learned,-1.2538284360820884,-1.893806795595185,-0.8095281605061734,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqSH,RANF,baseline,learned,1.3930965567104894,1.2777875574875355,1.509979506717412,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqSH,RANF,baseline,learned,0.1504281492727371,-0.3864731143896392,0.5041121541940287,0.49175082491750827,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqNN,MCARv32,baseline,learned,0.742559073319065,0.6487907321587638,0.8384836439401561,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqNN,MCARv32,baseline,learned,-0.23411983587287477,-0.35109688225676244,-0.11581054605136175,0.00019998000199980003,10000,20260812
