run_name,tikhonov_epsilon,split,scope,subject_count,residual_mae_db,residual_rmse_db,erb_proxy_mae_db,contralateral_high_frequency_mae_db,strict_hrir_ild_mae_db
sonicom_pilot_q26_tikh0,0.0,train,all_793,3,3.0486276208861365,4.6695051830013625,1.197178856014368,4.334495057857983,0.7836484894931255
sonicom_pilot_q26_tikh0,0.0,train,interpolation_only_767,3,3.080091306356873,4.703657395757488,1.2129438683958276,4.358420057192969,0.7899257847953672
sonicom_pilot_q26_tikh0,0.0,val,all_793,3,3.2571701280715124,4.9096811820164,1.259738696427105,4.75707943544262,0.9718340001624939
sonicom_pilot_q26_tikh0,0.0,val,interpolation_only_767,3,3.28959113853607,4.944110147606013,1.2758411948552437,4.779132298289379,0.977042546525778
sonicom_pilot_q26_tikh1e8,1e-08,train,all_793,3,3.0486276091425553,4.669505179320743,1.1971788379369084,4.334495072404835,0.7836485300721483
sonicom_pilot_q26_tikh1e8,1e-08,train,interpolation_only_767,3,3.0800912943231005,4.703657392214352,1.2129438501177712,4.358420068899194,0.7899258271232794
sonicom_pilot_q26_tikh1e8,1e-08,val,all_793,3,3.257170105922421,4.909681165421862,1.2597386871505474,4.757079424815857,0.9718339996512851
sonicom_pilot_q26_tikh1e8,1e-08,val,interpolation_only_767,3,3.2895911162804734,4.944110130340883,1.275841184670201,4.779132288217332,0.977042545455951
sonicom_pilot_q26_tikh1e6,1e-06,train,all_793,3,3.0486264602872697,4.669504578459809,1.1971776422942237,4.334496691168979,0.7836499610047345
sonicom_pilot_q26_tikh1e6,1e-06,train,interpolation_only_767,3,3.080090090793815,4.703656772935097,1.2129426171237627,4.358421596926252,0.7899273133978059
sonicom_pilot_q26_tikh1e6,1e-06,val,all_793,3,3.257168314368321,4.909679903708631,1.2597370574628408,4.757078384440671,0.9718342100693436
sonicom_pilot_q26_tikh1e6,1e-06,val,interpolation_only_767,3,3.289589288009728,4.9441088177999175,1.2758395236305562,4.779131223862437,0.9770428410722417
sonicom_pilot_q26_tikh1e4,0.0001,train,all_793,3,3.048511679436848,4.669435903516647,1.1970581649052918,4.334662664056388,0.783795484808454
sonicom_pilot_q26_tikh1e4,0.0001,train,interpolation_only_767,3,3.0799700008570237,4.703588257125176,1.2128194057016557,4.358578466114232,0.7900787920394992
sonicom_pilot_q26_tikh1e4,0.0001,val,all_793,3,3.2569899031102403,4.9095621924397905,1.259574430508696,4.756965229757079,0.9718587866602165
sonicom_pilot_q26_tikh1e4,0.0001,val,interpolation_only_767,3,3.2894071395593496,4.943985714968936,1.2756737133663656,4.779016098396163,0.9770761857624772
sonicom_pilot_q26_tikh1e2,0.01,train,all_793,3,3.0445544637336757,4.674694389235335,1.1913329971471598,4.357786301360737,0.8043678003510536
sonicom_pilot_q26_tikh1e2,0.01,train,interpolation_only_767,3,3.075261143997189,4.708153333897298,1.2066766028565759,4.380536686330701,0.8112789067803842
sonicom_pilot_q26_tikh1e2,0.01,val,all_793,3,3.2439509408223235,4.898800613506398,1.2485704980944117,4.750835441551376,0.9807120594656761
sonicom_pilot_q26_tikh1e2,0.01,val,interpolation_only_767,3,3.2760512898803924,4.933067013072656,1.2642447529117622,4.77292413042112,0.9868368579166219
sonicom_pilot_q26_tikh3e2,0.03,train,all_793,3,3.06234734029094,4.705622048700325,1.206573702619891,4.421000957697418,0.8790531600946306
sonicom_pilot_q26_tikh3e2,0.03,train,interpolation_only_767,3,3.0912175429822155,4.737348710543356,1.2207766241646285,4.441329784232088,0.8875772547661733
sonicom_pilot_q26_tikh3e2,0.03,val,all_793,3,3.24157876039734,4.905073012351213,1.2508559482477597,4.76555450580923,1.0276737897017199
sonicom_pilot_q26_tikh3e2,0.03,val,interpolation_only_767,3,3.272363889226216,4.937652149159815,1.2655990768288865,4.786128590379728,1.035680575875335
sonicom_pilot_q26_tikh1e1,0.1,train,all_793,3,3.242634593120249,4.938136425384784,1.383363749056438,4.766593468166719,1.2633439130298447
sonicom_pilot_q26_tikh1e1,0.1,train,interpolation_only_767,3,3.2668023641960997,4.966527466411551,1.3940013824807516,4.782070311668741,1.272985494915478
sonicom_pilot_q26_tikh1e1,0.1,val,all_793,3,3.3558568743477544,5.065992708432493,1.3938011042682354,4.990832391843475,1.3330497054664363
sonicom_pilot_q26_tikh1e1,0.1,val,interpolation_only_767,3,3.380890049200103,5.093721525702155,1.4045541372357448,5.0069372255427576,1.3401576936566257
sonicom_pilot_q26_tikh3e1,0.3,train,all_793,3,4.028622366522332,5.879833004000582,2.1393035719627753,6.253029556837739,2.321348014660785
sonicom_pilot_q26_tikh3e1,0.3,train,interpolation_only_767,3,4.046730443347255,5.903576688967449,2.1452518929649727,6.258589675183768,2.3283636621083503
sonicom_pilot_q26_tikh3e1,0.3,val,all_793,3,4.059467232484696,5.912323416715469,2.128177923566135,6.339924170095574,2.3505071022368953
sonicom_pilot_q26_tikh3e1,0.3,val,interpolation_only_767,3,4.072328617972444,5.92786690728882,2.1326572226032052,6.341238210909182,2.355800148052571
sonicom_pilot_q26_tikh1,1.0,train,all_793,3,6.867034406432353,9.140871729271995,4.622612968406326,11.73401195410903,4.623053692625204
sonicom_pilot_q26_tikh1,1.0,train,interpolation_only_767,3,6.879130865178307,9.157690321798464,4.626221498864829,11.722901822409687,4.632187748691779
sonicom_pilot_q26_tikh1,1.0,val,all_793,3,6.876765442816847,9.171391021892108,4.6222089699657865,11.706256011721804,4.766102041752876
sonicom_pilot_q26_tikh1,1.0,val,interpolation_only_767,3,6.880191315680464,9.177106794948914,4.623923489410564,11.689915672782332,4.775349853921507
