run_name,tikhonov_epsilon,subject_id,split,scope,residual_mae_db,residual_rmse_db,erb_proxy_mae_db,contralateral_high_frequency_mae_db,strict_hrir_ild_mae_db
sonicom_pilot_q26_tikh0,0.0,P0001,val,all_793,3.341617015443008,5.0328169993529235,1.229093942651561,4.628438730298961,0.9028314701438405
sonicom_pilot_q26_tikh0,0.0,P0001,val,interpolation_only_767,3.373865258986652,5.067357359373802,1.245261388366533,4.653402770983641,0.9076327221485139
sonicom_pilot_q26_tikh0,0.0,P0002,train,all_793,3.33360500393834,5.041770524680406,1.2502372913050541,4.594455162193431,0.8895120763671865
sonicom_pilot_q26_tikh0,0.0,P0002,train,interpolation_only_767,3.362420278905697,5.0711934214895935,1.2666335577245142,4.617616281333663,0.8966495570774188
sonicom_pilot_q26_tikh0,0.0,P0238,train,all_793,2.9295630333159997,4.502074977310148,1.1909225258598428,4.036382278272369,0.7213797508316542
sonicom_pilot_q26_tikh0,0.0,P0238,train,interpolation_only_767,2.9648289353467554,4.54268608848816,1.2074570227288866,4.066542113568058,0.7276468401456999
sonicom_pilot_q26_tikh0,0.0,P0242,val,all_793,3.2545220425251884,4.884705582427628,1.3220622532891495,4.944195979955357,1.1147910118685094
sonicom_pilot_q26_tikh0,0.0,P0242,val,interpolation_only_767,3.2827987625665873,4.91374861373782,1.3372570006330502,4.9528391475122735,1.120107241491201
sonicom_pilot_q26_tikh0,0.0,P0243,train,all_793,2.8827148254040695,4.464670047013534,1.1503767508782068,4.37264773310815,0.7400536412805361
sonicom_pilot_q26_tikh0,0.0,P0243,train,interpolation_only_767,2.9130247048181666,4.497092677294711,1.1647410247340821,4.391101776677186,0.745480957162983
sonicom_pilot_q26_tikh0,0.0,P0277,val,all_793,3.1753713262463394,4.811520964268648,1.2280598933406042,4.698603596073542,0.8978795184751318
sonicom_pilot_q26_tikh0,0.0,P0277,val,interpolation_only_767,3.2121093940549716,4.851224469706418,1.245005195566148,4.7311549763722205,0.903387675937619
sonicom_pilot_q26_tikh1e8,1e-08,P0001,val,all_793,3.3416169919912493,5.032816995557673,1.229093935726109,4.6284387136865925,0.9028314774761469
sonicom_pilot_q26_tikh1e8,1e-08,P0001,val,interpolation_only_767,3.3738652351744673,5.067357355763941,1.2452613809478117,4.653402757429859,0.9076327294865607
sonicom_pilot_q26_tikh1e8,1e-08,P0002,train,all_793,3.3336050023415833,5.0417705152011125,1.2502372837187332,4.594455152553831,0.8895121414697031
sonicom_pilot_q26_tikh1e8,1e-08,P0002,train,interpolation_only_767,3.362420277054781,5.071193412263054,1.2666335497379615,4.617616268875059,0.8966496212992282
sonicom_pilot_q26_tikh1e8,1e-08,P0238,train,all_793,2.9295630203292315,4.502074971805671,1.1909225035911883,4.036382318849888,0.7213797856673376
sonicom_pilot_q26_tikh1e8,1e-08,P0238,train,interpolation_only_767,2.964828922174296,4.542686081783386,1.207456999840331,4.066542154451696,0.7276468825057931
sonicom_pilot_q26_tikh1e8,1e-08,P0242,val,all_793,3.2545220189024824,4.884705544523456,1.3220622444233523,4.944195981549381,1.1147909872384667
sonicom_pilot_q26_tikh1e8,1e-08,P0242,val,interpolation_only_767,3.2827987390260427,4.913748574153586,1.337256989911554,4.952839148733384,1.1201072095749853
sonicom_pilot_q26_tikh1e8,1e-08,P0243,train,all_793,2.8827148047568523,4.464670050955446,1.1503767265008038,4.372647745810785,0.7400536630794042
sonicom_pilot_q26_tikh1e8,1e-08,P0243,train,interpolation_only_767,2.9130246837402254,4.497092682596615,1.1647410007750207,4.391101783370825,0.745480977564817
sonicom_pilot_q26_tikh1e8,1e-08,P0277,val,all_793,3.1753713068735316,4.811520956184455,1.2280598813021806,4.6986035792116,0.8978795342392416
sonicom_pilot_q26_tikh1e8,1e-08,P0277,val,interpolation_only_767,3.21210937464091,4.851224461105122,1.2450051831512374,4.731154958488755,0.903387697306307
sonicom_pilot_q26_tikh1e6,1e-06,P0001,val,all_793,3.341615802737004,5.032817022163417,1.2290926433036293,4.628436748919325,0.902833240933885
sonicom_pilot_q26_tikh1e6,1e-06,P0001,val,interpolation_only_767,3.3738640396165964,5.067357395405499,1.2452600641863434,4.653400760867084,0.9076346169321665
sonicom_pilot_q26_tikh1e6,1e-06,P0002,train,all_793,3.3336044347539056,5.0417695375067275,1.2502365082256732,4.594455094164401,0.8895143944979536
sonicom_pilot_q26_tikh1e6,1e-06,P0002,train,interpolation_only_767,3.3624196606186914,5.071192533668308,1.266632746054856,4.617616092554202,0.8966519524896275
sonicom_pilot_q26_tikh1e6,1e-06,P0238,train,all_793,2.9295618563076395,4.502074548338603,1.1909212899877157,4.036385209072597,0.7213813518575085
sonicom_pilot_q26_tikh1e6,1e-06,P0238,train,interpolation_only_767,2.964827715207851,4.542685575272008,1.2074557402274786,4.066545004845316,0.7276485185432242
sonicom_pilot_q26_tikh1e6,1e-06,P0242,val,all_793,3.254519584553883,4.884702515358521,1.322060309299543,4.944194606651719,1.1147887556629141
sonicom_pilot_q26_tikh1e6,1e-06,P0242,val,interpolation_only_767,3.2827962451439516,4.913745443147094,1.3372550082008179,4.952837740087862,1.1201050517920683
sonicom_pilot_q26_tikh1e6,1e-06,P0243,train,all_793,2.8827130898002635,4.464669649534095,1.1503751286692818,4.372649770269939,0.7400541366587415
sonicom_pilot_q26_tikh1e6,1e-06,P0243,train,interpolation_only_767,2.913022896554902,4.4970922098649755,1.1647393650889537,4.39110369337924,0.7454814691605658
sonicom_pilot_q26_tikh1e6,1e-06,P0277,val,all_793,3.1753695558140764,4.811520173603953,1.22805821978535,4.69860379775097,0.8978806336112315
